"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_182943.3",1.64245503144113,3.84760690269772e-11,1.26086078201404e-07,6.60983035339335,198.837191216635
"2","NM_004052.3",1.50789603357736,1.04115072107014e-09,1.13728363764895e-06,6.10297048820917,143.972987272871
"3","NM_016588.3",1.23263924708148,8.56618870936797e-10,1.13728363764895e-06,6.13406426621692,111.97068089851
"4","NM_013332.4",2.34443157838526,7.51154867951885e-09,6.15383625569582e-06,5.77906817397797,90.4349475148209
"5","NM_152298.4",0.915937328280345,1.06409231492305e-08,6.97406103200569e-06,5.72018324062728,84.0193202819028
"6","NM_002038.4",-1.68597824770392,5.73290671843263e-08,3.13112255271729e-05,-5.42693788754082,172.319186421252
"7","NM_002985.3",-1.26701158675463,1.63060312150534e-07,7.6335520416757e-05,-5.23716680408798,108.054396119264
"8","NM_001549.6",-1.69710058172332,1.96965698975262e-07,8.06820744427417e-05,-5.202178694789,108.556800717245
"9","NM_001548.5",-1.07827910261063,4.74852015594518e-07,0.00017289889501147,-5.03620499636307,129.068107439505
"10","NM_005566.4",1.07942949540513,7.98637835240892e-07,0.00026171361860844,4.93570001717225,1058.16526239851
"11","NM_000389.5",-0.890121800617315,9.03607961729405e-07,0.000269193026417024,-4.91154662081406,92.1324616286903
"12","NM_004335.4",-1.74732053162558,1.61082349512619e-06,0.000408498196810488,-4.79697169947179,77.9316193439843
"13","NM_021105.3",-0.934665733523763,1.62052992326406e-06,0.000408498196810488,-4.7957676999204,84.6744626782129
"14","NM_000291.4",0.769498608059904,2.21080884349234e-06,0.0005174871842946,4.73313266509503,557.363659355835
"15","NM_174893.4",-0.813685908555659,5.53376290520174e-06,0.00120894273602307,-4.54346259310887,80.2069645993153
"16","NM_001031683.4",-1.86184571255166,1.15726487381507e-05,0.00191775569196908,-4.38548715516038,92.2807373128363
"17","NM_005063.5",0.542276032962749,1.17043374548006e-05,0.00191775569196908,4.38302369989342,337.926656909158
"18","NM_006145.3",-0.620361215338506,1.11926537529172e-05,0.00191775569196908,-4.39274858356565,94.6789736220017
"19","NM_054012.4",-0.609625031306796,1.01124792172956e-05,0.00191775569196908,-4.41475427110814,139.352049888213
"20","NM_001369145.1",0.737846699155707,1.08548112816552e-05,0.00191775569196908,4.39940493921706,138.562826072751
"21","NM_021127.3",-0.362894231908009,1.54550675303332e-05,0.00241172649032866,-4.32210061654475,799.720650067241
"22","NM_021034.3",-1.64903848490974,1.70243137519567e-05,0.00253584891659828,-4.30072120161624,242.838397225143
"23","NM_006187.4",-1.07717422567509,2.67636383435446e-05,0.00381323664573025,-4.19938883595233,75.4442524025006
"24","NM_006082.3",-0.284533468863113,2.99723847407761e-05,0.00409247936648013,-4.17367605612089,2598.50042214849
"25","NM_006084.5",-0.7533660416818,4.88048048326037e-05,0.0063973338174577,-4.06127804246204,98.7116343550715
"26","NM_001128148.3",0.825008543654459,5.64652309697694e-05,0.00711679084184362,4.02711578405029,68.6060787982946
"27","NM_001201483.4",0.821712848483813,6.198590476746e-05,0.00752325221936913,4.0051203854944,53.1601633636306
"28","NM_003670.3",0.697356714243265,9.3921221723493e-05,0.010992137270996,3.90578183193056,85.8620879770584
"29","NM_014164.6",-0.56217791865895,9.90475547999887e-05,0.0111923736923987,-3.89291330701793,267.955365742122
