"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_001547.5",2.76002303629694,1.44354175536671e-71,2.8201031732844e-67,17.8887326917533,142.103687736459
"2","NM_001548.5",2.57960130419909,3.49560018443772e-56,3.41450226015876e-52,15.7926535971001,129.068107439505
"3","NM_003733.3",2.87316547528792,2.62701628347173e-44,1.71071300379679e-40,13.9628534686103,62.9155103878971
"4","NM_001549.6",3.30797844208021,1.65135752945431e-43,8.06523017385487e-40,13.8312457175255,108.556800717245
"5","NM_002985.3",2.50877611561137,2.34463771173351e-40,9.16096846728518e-37,13.2990385709115,108.054396119264
"6","NM_006187.4",2.42515188097483,2.19531634604056e-36,7.14795002270805e-33,12.5969271941471,75.4442524025006
"7","NM_014314.4",2.73517271516573,3.97797922787444e-32,1.11019717422507e-28,11.798401121741,44.1418378788192
"8","NM_004223.5",1.43536614999729,1.69852860442618e-29,4.14780685200873e-26,11.2773141099547,124.010331406999
"9","NM_022168.4",2.09487185947654,3.50049176373138e-25,7.59840078847291e-22,10.3670824829701,46.669138968981
"10","NM_006084.5",1.55905468622779,4.39544122122689e-25,8.58693396978886e-22,10.3452985559968,98.7116343550715
"11","NM_017631.6",2.17306631530007,8.5803915354844e-25,1.52387753670203e-21,10.2810319508783,43.5569996838945
"12","NM_021105.3",1.54206397862863,3.78499144882123e-24,6.16196607868096e-21,10.1370122381453,84.6744626782129
"13","NM_006417.5",3.32174863569944,8.86278659196419e-24,1.33187229892779e-20,10.053537177421,26.2172826764059
"14","NM_001265595.2",-43.3653807396847,1.38939135110045e-23,1.93879638822131e-20,-10.0091514222987,17.8076322864591
"15","NM_016323.4",1.59091712686862,1.21858270690392e-19,1.58708211747166e-16,9.06742905256703,56.7118298749152
"16","NM_004510.4",1.80452562860417,1.38113181313199e-19,1.68636194383416e-16,9.05377187814965,45.835793355761
"17","NM_017414.4",1.28424621335727,2.05158501293526e-19,2.35763322427666e-16,9.01047896447926,82.6756447732294
"18","NM_138287.3",1.81733212496658,2.62965865045679e-19,2.85405618862911e-16,8.98321589125257,44.5659610606718
"19","NM_006820.4",2.86335768770251,5.69797280135727e-17,5.85871561301661e-14,8.37131302112536,19.0012731416936
"20","NM_002038.4",2.30712402743498,1.80855147777411e-16,1.76659308348975e-13,8.23413797921855,172.319186421252
"21","NM_012420.3",1.48333537781651,7.76091121877453e-16,7.21986483666567e-13,8.05791127877714,52.6760157247926
"22","NM_005794.4",2.35622047646991,8.37204656955287e-15,7.43437735376295e-12,7.76181803936675,21.3307261156103
"23","NM_001345927.2",2.57752181981169,2.13250735357236e-14,1.81133320258216e-11,7.64237515982317,18.5114478063208
"24","NM_001031683.4",2.74208437658966,4.42468345284041e-14,3.6016923306121e-11,7.54785994907658,92.2807373128363
"25","NM_080657.5",3.93127297257525,6.37295064702128e-14,4.98007855360831e-11,7.50018154374698,12.9210137926246
"26","NM_001565.4",3.9981236861706,1.34084277139223e-13,1.00748863007379e-10,7.40206357284,11.8206688325179
"27","NM_033109.5",1.05398365592802,1.48182760359413e-12,1.07218459495611e-09,7.07617962992616,76.6874628409155
