"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_001547.5",3.00025784906527,5.12494144425659e-85,1.12943459548527e-80,19.5389258320212,142.103687736459
"2","NM_001548.5",2.76062247131506,1.40663000659189e-64,1.5499656042636e-60,16.9684212777714,129.068107439505
"3","NM_003733.3",3.21148293352685,9.74238433945523e-56,7.15675553576381e-52,15.7278765716222,62.9155103878971
"4","NM_001549.6",3.49058169276024,2.06485065666724e-48,1.13762946929082e-44,14.620954488664,108.556800717245
"5","NM_002985.3",2.73144052797616,7.15658621903721e-48,3.15433694190284e-44,14.5360894068775,108.054396119264
"6","NM_006187.4",2.65739280551565,7.66833518110813e-44,2.81657951202102e-40,13.8863119116563,75.4442524025006
"7","NM_014314.4",2.9323250154634,4.16336255087608e-37,1.31074548423153e-33,12.7274266031433,44.1418378788192
"8","NM_004223.5",1.50796969817237,1.13012657860593e-32,3.11321619241467e-29,11.9038484138805,124.010331406999
"9","NM_017631.6",2.42536749092613,4.41509719332653e-31,1.08111013273922e-27,11.5940946283567,43.5569996838945
"10","NM_022168.4",2.29210366450317,2.40137986998574e-30,5.29216095747457e-27,11.4481786819846,46.669138968981
"11","NM_006417.5",3.69981050345415,1.54053428543001e-29,3.08639041657333e-26,11.285901835871,26.2172826764059
"12","NM_017414.4",1.53190770714973,7.62716229517055e-28,1.40072835550807e-24,10.9375030573818,82.6756447732294
"13","NM_016323.4",1.82644876062798,4.85181588694796e-26,8.22494757819686e-23,10.5543118614236,56.7118298749152
"14","NM_006084.5",1.58632574570893,5.23328929222067e-26,8.23794495871137e-23,10.5472010349637,98.7116343550715
"15","NM_004510.4",2.05974287694737,1.16496790377694e-25,1.71157084422909e-22,10.4717279533481,45.835793355761
"16","NM_021105.3",1.56665262719285,5.75176113466877e-25,7.9223319928644e-22,10.3195071959546,84.6744626782129
"17","NM_138287.3",2.03664745552912,2.26964618261203e-24,2.94226250425905e-21,10.1868653738659,44.5659610606718
"18","NM_002038.4",2.63397486392525,4.68383612150293e-21,5.73457669142676e-18,9.41604858181847,172.319186421252
"19","NM_005794.4",2.74874297518197,4.024051381952e-20,4.66747601870832e-17,9.18741223639627,21.3307261156103
"20","NM_006820.4",3.08343771415598,1.14261333147253e-19,1.25904562994958e-16,9.07444211526161,19.0012731416936
