,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
1,NM_032580.4,HES7,8.219178453,5.12E-68,5.43E-64,17.42725905,102.4378199
2,NM_015411.4,SUMF2,-18.47638646,1.19E-09,6.32E-06,-6.081105053,37.46770587
3,NM_001257293.2,HNRNPH1,-18.14424269,3.30E-08,0.000116497,-5.524698606,37.98268185
4,NM_000281.4,PCBD1,-18.1570009,2.70E-07,0.000713608,-5.143570283,47.40596461
5,NM_004217.4,AURKB,-19.33175352,1.48E-06,0.003140201,-4.813544524,65.02076296
6,NM_001352330.2,DMKN,-6.439335313,5.19E-06,0.009155353,-4.557051991,52.3025739
7,NM_001322980.2,SFXN1,2.708727498,1.42E-05,0.021419035,4.341375668,16.80880241
8,NM_001347725.2,PITRM1,4.185890168,2.02E-05,0.023793937,4.262410106,14.20747933
9,NM_001099661.2,EIF3CL,4.840582949,1.97E-05,0.023793937,4.268060982,27.23743608
10,NM_001086521.2,NDUFAF8,-2.52503461,2.90E-05,0.028995146,-4.181183586,45.86486258
11,NM_032408.4,BAZ1B,1.313838258,3.01E-05,0.028995146,4.172552931,30.5706082
12,NM_017905.6,TMCO3,-7.308656713,4.29E-05,0.037889816,-4.091064064,23.21823305
13,NM_198953.1,NUDT1,-7.829490081,4.65E-05,0.037889816,-4.072471393,35.44354033
14,NM_005566.4,LDHA,0.797715867,6.63E-05,0.050112518,3.989348214,1435.767133
15,NM_003733.3,OASL,-1.45696784,7.61E-05,0.053749924,-3.956235117,62.77012767
16,NM_001908.5,CTSB,-1.272769192,9.58E-05,0.063426555,-3.900895162,78.92469701
17,NM_018235.3,CNDP2,-1.732188317,0.000152758,0.095150317,-3.786542322,23.12731769
18,NM_030653.4,DDX11,-5.147075528,0.000177,0.104125443,-3.749764849,82.54811001
19,NM_032993.2,GAR1,-6.179977077,0.0002303,0.128349767,-3.683227013,9.293253219
20,NM_002985.3,CCL5,-1.457193991,0.000261282,0.138335756,-3.650940273,122.074892
21,NM_138473.3,SP1,-7.606850058,0.000345683,0.171666258,-3.578416002,25.3731678
22,NM_001159676.1,SYNCRIP,2.251242165,0.000356659,0.171666258,3.570236862,19.63699784
23,NM_001199802.1,RPL11,-0.420378811,0.000509218,0.192430051,-3.475860093,5107.396498
24,NM_004494.3,HDGF,-1.563013203,0.000459682,0.192430051,-3.50321299,47.27913648
25,NM_012456.3,TIMM10,-1.492974662,0.000434442,0.192430051,-3.518225836,78.97534186
26,NM_003205.4,TCF12,-1.693803019,0.000455768,0.192430051,-3.50548982,20.10033188
27,NM_001284408.2,TMEM40,-2.984371931,0.000550015,0.192430051,-3.455136157,10.57865724
28,NM_001278708.2,PSMD2,-6.719063631,0.000563352,0.192430051,-3.448671432,31.82355428
29,NM_002129.4,HMGB2,0.389706967,0.000560384,0.192430051,3.450097409,686.0478585
30,NM_016588.3,NRN1,0.764344763,0.000488512,0.192430051,3.486977995,155.5813653
31,NM_004638.4,PRRC2A,-3.559801272,0.000521008,0.192430051,-3.469716236,32.65558519
32,NM_001098616.3,C1orf43,-1.300223031,0.000669649,0.198479206,-3.401713149,139.8860602
33,NM_002627.5,PFKP,-17.97298976,0.000674781,0.198479206,-3.399626101,38.71033042
34,NM_003345.5,UBE2I,-7.122991236,0.000618825,0.198479206,-3.423226611,23.36930062
35,NM_015528.3,RNF167,-17.52392548,0.000612845,0.198479206,-3.425864976,20.80162087
