,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
1,NM_015411.4,SUMF2,-48.31378176,2.36E-73,3.37E-69,-18.11649711,37.46770587
2,NM_001257293.2,HNRNPH1,-48.02026468,5.77E-62,4.11E-58,-16.61132359,37.98268185
3,NM_000281.4,PCBD1,-47.7906145,3.72E-53,1.77E-49,-15.34679337,47.40596461
4,NM_004217.4,AURKB,-49.19128161,1.43E-43,5.09E-40,-13.8417317,65.02076296
5,NM_015528.3,RNF167,-47.42244599,1.78E-25,5.08E-22,-10.43146739,20.80162087
6,NM_002627.5,PFKP,-47.90175958,2.17E-24,5.16E-21,-10.19116076,38.71033042
7,NM_016588.3,NRN1,1.815402833,1.86E-21,3.78E-18,9.512817575,155.5813653
8,NM_004052.3,BNIP3,1.545852559,1.03E-13,1.83E-10,7.437257433,193.2162364
9,NM_005566.4,LDHA,1.294323998,4.45E-13,7.04E-10,7.241226777,1435.767133
10,NM_013332.4,HILPDA,2.161046661,7.17E-13,1.02E-09,7.176071578,124.280681
11,NM_182943.3,PLOD2,1.896561714,9.70E-13,1.26E-09,7.134690529,283.9006993
12,NM_000291.4,PGK1,1.110204633,3.71E-11,4.41E-08,6.615151082,639.5336823
13,NM_003155.3,STC1,2.292271037,5.64E-11,6.19E-08,6.553002088,38.19570334
14,NM_003680.3,YARS1,-0.761809545,7.74E-11,7.89E-08,-6.505489228,245.3568441
15,NM_001018139.2,NME2,-34.86533886,1.62E-10,1.54E-07,-6.393486015,10.23807075
16,NM_005542.6,INSIG1,0.904027341,2.78E-09,2.48E-06,5.943798936,117.9705072
17,NM_001199802.1,RPL11,-0.583368058,7.04E-08,5.91E-05,-5.390139716,5107.396498
18,NM_000998.5,RPL37A,-1.134740127,8.89E-08,7.04E-05,-5.348023166,684.4180923
19,NM_198589.3,BSG,-4.979713958,1.07E-07,8.03E-05,-5.314351435,94.91974519
20,NM_001201362.2,HMGN3,1.076528937,1.13E-07,8.07E-05,5.30410155,97.73707641
21,NM_005063.5,SCD,0.563255124,1.19E-07,8.11E-05,5.294460035,394.978145
22,NM_001369145.1,CUL4B,1.008846076,1.75E-07,0.00011374,5.223589855,180.3786619
23,NM_001272049.2,TRAP1,-2.262561844,1.84E-07,0.000113916,-5.215070118,65.31841357
