,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
28690,NM_000015.3,NAT2,-0.73148349,0.649422577,1,-0.454564503,0.671415823
8238,NM_000017.4,ACADS,0.845547637,0.381293363,1,0.875515715,4.804755247
12722,NM_000018.4,ACADVL,0.065107427,0.852446424,1,0.185997879,175.7715163
279,NM_000019.4,ACAT1,-0.533014577,0.001192359,0.137006948,-3.240701668,197.0531803
33970,NM_000020.3,ACVRL1,NA,NA,NA,NA,0
9585,NM_000021.4,PSEN1,-0.051458002,0.861415637,1,-0.1745724,22.05610569
19667,NM_000022.4,ADA,-0.270983768,0.42939483,1,-0.790227652,33.77782524
35416,NM_000023.4,SGCA,NA,NA,NA,NA,0
28879,NM_000025.3,ADRB3,0.449587308,0.769970965,1,0.292412876,0.771813403
20816,NM_000026.4,ADSL,-0.231071879,0.167741545,1,-1.379497083,67.07751706
23892,NM_000027.4,AGA,0.195078597,0.486387576,1,0.696065875,23.71072574
2117,NM_000028.2,AGL,-0.134621673,0.923937584,1,-0.095474953,1.170614853
19134,NM_000030.3,AGXT,0.450262129,0.784046396,1,0.274049742,0.60833064
30400,NM_000031.6,ALAD,0.321211946,0.341891526,1,0.95043449,16.20859687
31307,NM_000032.5,ALAS2,0.826685599,0.902764416,1,0.122169961,0.123657348
31906,NM_000033.4,ABCD1,0.882944038,0.593096657,1,0.534353972,0.958797086
30292,NM_000035.4,ALDOB,0.826685599,0.902764416,1,0.122169961,0.148682035
28942,NM_000037.4,ANK1,0.804795167,0.904967716,1,0.119388319,0.22631614
24582,NM_000038.6,APC,0.500762742,0.354071661,1,0.926720519,11.71778711
33684,NM_000040.3,APOC3,NA,NA,NA,NA,0
16313,NM_000041.4,APOE,0.645727039,0.545216427,1,0.604943668,9.170336318
13939,NM_000042.3,APOH,-1.096863749,0.871228948,1,-0.162097661,0.032818079
4505,NM_000043.6,FAS,-0.072143682,0.841748079,1,-0.19965798,13.08799
40197,NM_000044.6,AR,NA,NA,NA,NA,0
26536,NM_000045.4,ARG1,0,1,1,0,0.032953778
