"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_002970.3",1.29407093506376,8.24506599541894e-16,3.23453939000285e-12,8.05050863149449,2834.69703093415
"2","NM_001005335.2",0.495856206740771,1.5571410848855e-14,3.05433223800291e-11,7.68274602418205,772.794194710627
"3","NM_003604.2",-1.14290059272373,1.12582376788854e-13,1.47220221380892e-10,-7.42523203228487,423.602045510847
"4","NM_001206486.2",1.74289543952866,2.04238627110039e-13,2.00307033538171e-10,7.34599197684605,55.119888683921
"5","NM_001369555.1",1.87706783468629,6.1795924860092e-13,4.84850826452282e-10,7.19645995765196,102.621045341411
"6","NM_021178.5",0.662559421368721,3.23434457504459e-11,2.11472229464999e-08,6.63548627849596,378.502696348158
"7","NM_006472.6",0.840420318582105,2.04890711218868e-10,1.14826608587374e-07,6.35762965839753,206.279840036389
"8","NM_024116.4",0.840471528811997,3.83811754624579e-10,1.67299279265802e-07,6.26047290649732,124.435005429172
"9","NM_023012.6",0.76820609154114,3.61435114102605e-10,1.67299279265802e-07,6.2698331826468,129.949998544825
"10","NM_004071.4",0.851450179672383,4.760914973503e-10,1.86770694410523e-07,6.22678903567396,116.746391821378
"11","NM_001363819.1",0.641723082118686,1.73871799907357e-08,6.20090064578694e-06,5.6361719250179,179.353529551701
"12","NM_031412.4",0.836055138111618,1.90461938172263e-08,6.22651819541489e-06,5.62044888473065,82.3003793151478
"13","NM_000599.4",-0.836706086494602,6.50673976767957e-08,1.96353385450823e-05,-5.40428505403696,115.961508999872
"14","NM_001136137.1",1.67291643015927,1.20360519836137e-07,3.37267370940831e-05,5.29294744271319,86.031856282457
"15","NM_001257293.2",-1.4876451856674,2.18287138449766e-07,5.70893629425621e-05,-5.18304944573842,86.2916098193794
"16","NM_014330.3",0.996800705541611,2.57545396647313e-07,5.94323877086711e-05,5.15212927234079,100.188242541349
"17","NM_001286836.1",0.693720282445167,2.55454286890645e-07,5.94323877086711e-05,5.15365753018013,144.396967653333
"18","NM_000985.5",0.577277884522398,3.08292878265888e-07,6.71907200798378e-05,5.11830554042446,1361.27416801928
"19","NM_001078166.2",0.790124479516457,5.12799542529736e-07,0.000102800057117966,5.02146086036782,140.381975673415
