"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_001547.5",-5.1298297950969,5.33338240099051e-16,1.83783322417271e-12,-8.10365130740334,63.3102300125277
"2","NM_001806.4",-0.875957929004136,8.06952019395263e-16,1.83783322417271e-12,-8.05314198146902,340.7163702787
"3","NM_006084.5",-1.78008250644949,6.45117262194827e-14,9.79503043099146e-11,-7.49858233413506,79.0985651278017
"4","NM_001548.5",-2.70913185494977,3.89400532294713e-13,4.43429856150605e-10,-7.25919508215778,67.1559725594102
"5","NM_002985.3",-5.8076604336027,1.41011367944088e-11,1.28461356197064e-08,-6.75686304076041,42.9047527240974
"6","NM_001013251.3",-1.30523146748476,2.96620263926254e-11,2.25184217030681e-08,-6.64823906125756,145.614341561187
"7","NM_002038.4",-2.07610799116896,1.1504655988817e-10,7.48624400415163e-08,-6.44572835631093,93.620923994684
"8","NM_014330.3",-1.50195199004141,2.9354560394573e-10,1.671375282466e-07,-6.30214961067455,100.188242541349
"9","NM_021034.3",-1.4709380544672,4.99054463659355e-10,2.52577009107596e-07,-6.21940160376074,159.971446392539
"10","NM_001206486.2",-2.30081313930819,7.27232913841425e-10,3.31254592254769e-07,-6.1600471434833,55.119888683921
"11","NM_001031683.4",-7.84765843975102,8.12457776537971e-10,3.36431379284587e-07,-6.14247439507503,51.0032989962851
"12","NM_006513.4",-0.55961098171848,3.7297955174049e-09,1.41576821514827e-06,-5.89575166982904,377.61022522901
"13","NM_001549.6",-6.85048885509513,3.9642602814974e-08,1.20811801200191e-05,-5.49243653574321,46.1790943912609
"14","NM_000422.3",-1.84003262207832,3.90916262562324e-08,1.20811801200191e-05,-5.49490704729814,78.819188378896
"15","NM_000599.4",0.713341408548897,3.97843472668026e-08,1.20811801200191e-05,5.49180635598984,115.961508999872
"16","NM_004990.4",-0.494030912904269,5.83274234784038e-08,1.66050883715081e-05,-5.42385432399596,277.15555245752
"17","NM_004728.4",-0.5889719910995,6.56400475457885e-08,1.75876715630039e-05,-5.4027140721004,305.787896049424
"18","NM_016588.3",1.64479225487848,1.15227992716331e-07,2.91590837123827e-05,5.30090824507189,67.1821830768217
"19","NM_004083.5",-0.961899992073778,1.57492986036291e-07,3.77568711260686e-05,-5.24357706114618,122.968041093241
"20","NM_003680.3",-0.568257067046957,3.09768786650913e-07,6.71903249140434e-05,-5.11740451909647,266.674154880803
"21","NM_002539.3",-0.606073674525691,3.01559434735111e-07,6.71903249140434e-05,-5.12246978196346,251.984316612817
"22","NM_000728.4",-1.51682636925682,4.90604367370472e-07,0.000101577404244204,-5.02995132502776,37.1943872604408
"23","NM_005542.6",0.76106210055875,6.64636584127237e-07,0.000131626940899981,4.97142184017479,84.5483246331412
"24","NM_021105.3",-1.10828995651396,9.77309047678558e-07,0.000185485113007326,-4.89615316204765,67.2397914340363
"25","NM_006187.4",-1.39643312596084,1.09413577766483e-06,0.000199351538690533,-4.87390507659281,42.3830468775263
"26","NM_003768.5",-0.77836947163279,1.28302958883199e-06,0.000216451843597398,-4.8423647591542,113.893982483297
"27","NM_002047.4",-0.547481670788132,1.24237231317727e-06,0.000216451843597398,-4.84875742563452,233.945941217609
"28","NM_021127.3",-0.383331408188057,1.38252302894278e-06,0.000217151461959806,-4.82750776059696,816.465282776241
"29","NM_005347.5",-0.55143376702984,1.35203425610569e-06,0.000217151461959806,-4.83194821710141,174.508882510487
"30","NM_013332.4",2.2409447225195,2.05228379938912e-06,0.000311605090207248,4.74820655750993,41.0717336422273
"31","NM_002966.3",0.517661938292034,2.60032394797991e-06,0.000382079857517694,4.70010135814884,235.169001555536
"32","NM_000146.4",-0.289040849390268,2.70488508193636e-06,0.000385023485881878,-4.69204432153314,1537.45201625213
"33","NM_033280.4",-0.592784165426374,3.37257795185393e-06,0.000465517956687716,-4.64671794301937,140.778831282395
"34","NM_002166.5",-0.58331020986598,3.94194489616494e-06,0.000528104676530333,-4.6144200432463,144.753032129748
"35","NM_006079.5",0.979162954019075,6.08613674973168e-06,0.000792067225572222,4.5233746583084,58.785301868415
"36","NM_007235.6",-0.499606137714073,8.65688136182786e-06,0.00109533596119794,-4.44825972794583,189.305909065629
"37","NM_019058.4",0.929182986482189,9.28127621107155e-06,0.00114260035517381,4.43327406575704,245.428511010765
"38","NM_002046.7",0.582172487889431,1.15844507870119e-05,0.00138860982460103,4.38526528962742,4620.76477078275
"39","NM_006503.4",-0.416222007069505,1.23413959706714e-05,0.00144141176016432,-4.37146796539561,325.009230560604
"40","NM_006815.4",-0.430470199021295,1.38384580506801e-05,0.00157490927989807,-4.34640875265022,233.411543291717
"41","NM_001317742.1",-0.989669957599802,1.4175912288874e-05,0.00157490927989807,-4.34111868260092,116.911566848887
"42","NM_002133.3",-1.106037808222,1.62386054304873e-05,0.00176111542228261,-4.31117944577876,44.8776324413316
"43","NM_002654.6",0.546355967284651,1.78755220964043e-05,0.00189355821277027,4.289897971405,1179.76777432993
"44","NM_181575.5",-0.478919008148979,2.02335171890977e-05,0.002048081573252,-4.26229822113909,194.305795659046
"45","NM_058179.4",-0.481405877568181,2.01456559252469e-05,0.002048081573252,-4.26327032173538,214.038854394474
"46","NM_001317955.2",0.846734951338382,2.6779364440297e-05,0.00259531925586283,4.19925581434149,63.1777957361816
"47","NM_021178.5",-0.449875175504315,2.66263828777767e-05,0.00259531925586283,-4.20055299806299,378.502696348158
"48","NM_002893.4",0.21242757018653,3.36077490357676e-05,0.00318923535120669,4.14753269338979,779.370575896304
"49","NM_021103.4",0.351727820195697,3.61278835983259e-05,0.0033584185671505,4.1309425714681,1624.05144223413
"50","NM_018509.4",-0.376616099007356,3.98325470231877e-05,0.0036287450338124,-4.10844880816555,261.614748411179
"51","NM_012460.4",-0.588044906729819,5.15389868517259e-05,0.00460313892371788,-4.04853609386621,108.849437598069
"52","NM_001286836.1",-0.608762714182626,5.70650419061372e-05,0.00499867819004721,-4.02462967960845,144.396967653333
"53","NM_133436.3",-0.557970266580675,5.81982475383565e-05,0.00500175504787196,-4.01999957044325,210.402446629576
"54","NM_004052.3",1.28943993286552,6.28862734672477e-05,0.00521612141779428,4.00171027392061,79.132063551481
"55","NM_004541.4",0.348591384539877,6.29828052642559e-05,0.00521612141779428,4.00134741105337,405.398104992787
"56","NM_001301188.1",-1.01831016048416,7.53239017282288e-05,0.00612679236378718,-3.95881071657288,75.8292159004164
"57","NM_001975.3",0.514913060969391,8.98473951507335e-05,0.00717991026160686,3.91649039118975,161.390517546283
"58","NM_001258437.1",-0.367704185647119,0.00011269421198351,0.00885038164801534,-3.86149739959637,389.413739835214
"59","NM_203433.2",-0.645420690063839,0.00012085719307314,0.00933058499064666,-3.84438083934912,111.070648453867
"60","NM_002629.4",0.401306756056405,0.000125917577526355,0.00945737520717132,3.83430937724073,654.075998779408
"61","NM_005566.4",0.943723063305149,0.000128728268462047,0.00945737520717132,3.82887901069736,689.93146624088
"62","NM_001258308.2",-0.677633320477922,0.00012860966601873,0.00945737520717132,-3.82910588694826,79.9394643447022
"63","NM_001288.4",-0.308363505175157,0.000138292748810576,0.00999878525130435,-3.81120191201606,330.434382937174
"64","NM_004134.7",-0.384242002598352,0.000159092526061075,0.0113229133782531,-3.77642955752615,267.909369588668
"65","NM_006979.3",-0.68839663321757,0.000177630354203636,0.0124477886676548,-3.74887391569445,72.8526089396646
"66","NM_003107.3",0.347828650347501,0.000181003621806159,0.0124919923837433,3.74415260401829,200.206628812613
"67","NM_006601.7",0.248529627526579,0.000190589053814207,0.0129572110466226,3.73117462311474,639.17247563993
"68","NM_021130.5",0.291065331428233,0.000209838821069279,0.014056115146626,3.70686730051164,1594.64227046459
"69","NM_003944.4",0.628609292507957,0.000255158937074281,0.0168441878025123,3.65702556860641,58.9709897678623
"70","NM_006118.4",-0.366927243846684,0.000265141870045993,0.0171480156618286,-3.64717255965163,262.652362931431
"71","NM_001135651.3",-0.72782203839184,0.000267290694179985,0.0171480156618286,-3.64509726210434,64.5474245494762
"72","NM_005827.4",-0.793346602613063,0.000308969418068513,0.0195466069347511,-3.60766133382434,51.7335875897578
"73","NM_000365.6",0.47829149972107,0.000327690907414987,0.0204470148393872,3.59236461712004,1111.87211217999
"74","NM_002130.8",0.857723832166191,0.000340733650341642,0.0209735375311646,3.58218400446329,47.8070308331091
"75","NM_001318249.1",0.621854795283295,0.000388919356367359,0.0236203689100443,3.5474907851917,55.6615545864897
"76","NM_003299.3",-0.222492656756364,0.000433692243698587,0.0259930022374613,-3.51868443383928,985.354919343694
"77","NM_001352330.2",-0.775497663439039,0.000462759923781642,0.0273749539327971,-3.50143495103666,85.6252638699536
"78","NM_005801.4",-0.291364369057614,0.000484793712941645,0.0283107097749897,-3.48902064069859,721.920215725716
"79","NM_003217.3",-0.285199521562555,0.000519194188176034,0.0299358167992637,-3.47065314259575,518.96264324346
"80","NM_001079862.3",0.412725520902387,0.000558076613963286,0.0317754872075346,3.45121122673073,249.218054117487
"81","NM_004184.4",-1.4393686829003,0.000604299396795924,0.0335680945415297,-3.42967733721695,102.500510116496
"82","NM_016323.4",-0.862919589146707,0.000598460181652636,0.0335680945415297,-3.43231130234894,38.4419546056529
"83","NM_006109.5",-0.389319342287126,0.000678005669800301,0.0367656645945282,-3.39832200243487,272.841036065997
"84","NM_007026.4",-0.535631247081538,0.000670126771988748,0.0367656645945282,-3.40151815535151,87.4229046193811
"85","NM_001037536.3",0.600935639341824,0.000706060083535427,0.0378365138882808,3.38721509472124,107.458028920631
"86","NM_001201362.2",0.602265697803615,0.000765029047973062,0.0405198524827593,3.36514694244391,71.6535170745879
"87","NM_002824.6",0.368036103178619,0.000795503815530044,0.0416496537901075,3.35435448376177,524.899306413198
"88","NM_001330330.2",0.703743045724844,0.00082620855094746,0.0427656812450645,3.34386189751973,45.5784326332526
"89","NM_002950.4",-0.297114314284519,0.000874385350457982,0.0442536141259568,-3.32810617516821,265.332780754296
"90","NM_003604.2",0.488485141337284,0.000869688956904939,0.0442536141259568,3.3296061851275,423.602045510847
"91","NM_016038.4",-0.366683641384432,0.00094572966041477,0.0473384461888932,-3.30619286973764,184.524478252564
"92","NM_001113182.3",0.448537757456809,0.000992193787922637,0.0491243772172567,3.29273093032053,251.567707754085
"93","NM_000291.4",0.853598919363889,0.00101597624389768,0.0497609869995048,3.28606482845703,346.383887160603
"94","NM_001315530.2",-0.517811755142603,0.00104615237534308,0.0506938730817842,-3.27781148296354,117.933108194762
"95","NM_001321746.2",-0.879507663386402,0.00109411412469126,0.0524598930312495,-3.26513630426966,92.8786969164863
"96","NM_013285.3",-0.39543395987589,0.00111513341484563,0.0529107573398108,-3.25974266324375,152.983175170924
"97","NM_184043.2",0.680000380587334,0.00114549800486247,0.0537911691974076,3.25211466349656,696.42949419467
"98","NM_014377.3",-0.599589461625803,0.00116885282840811,0.0543278023816219,-3.24637373804742,67.0469532158352
"99","NM_004741.5",-0.484782365863062,0.00121013343961076,0.0556783617921921,-3.23648085423579,136.991530142715
"100","NM_001130688.1",-0.979213027445323,0.00125455808571871,0.0571451208044873,-3.22617685801371,39.4650990872017
"101","NM_001428.5",0.29077438281427,0.00129014241055403,0.0576137125497414,3.21816352667387,3721.75285670602
"102","NM_000972.3",0.248815929630187,0.00128941479342298,0.0576137125497414,3.21832532645453,3373.2942981292
"103","NM_002097.3",-0.396117656420357,0.00150639820202651,0.06631385688438,-3.17344812172373,143.592168490994
"104","NM_020154.3",-0.40909818016259,0.00151408147441834,0.06631385688438,-3.17197095819981,134.423671610938
"105","NM_004489.5",-0.322725775938079,0.00159426662284238,0.0691608044480669,-3.15695369233391,194.12919443289
"106","NM_005003.3",0.433169306211773,0.00162260287835149,0.0697260010461418,3.15181275676892,142.423339470386
"107","NM_018061.4",-0.896709710804378,0.00169348649252445,0.0720918782565316,-3.13930575150586,40.8978184368115
"108","NM_001289910.1",0.383809697137316,0.00175074268739773,0.073839193899043,3.12955000991573,158.358064703917
"109","NM_001002800.3",0.613019748728333,0.00179616105072125,0.0750597576700484,3.12201775628193,139.135677299576
"110","NM_001304547.2",-1.16357406443,0.00192379530375791,0.0796626146237934,-3.10175126497577,35.5564716635829
"111","NM_005866.4",-0.395687906065423,0.00195856246716141,0.0803716399812632,-3.09644491703453,173.034236013421
"112","NM_001127228.2",0.284273456853857,0.0020068403240411,0.0816174792500642,3.08921813491269,241.275940990543
"113","NM_002356.7",0.392457411594005,0.00215859516268883,0.0870123979296251,3.06749715386822,99.9176606716361
"114","NM_001159936.1",-0.391036297924613,0.00224506201565623,0.0895582142769753,-3.05573952369339,127.589296629353
"115","NM_206949.3",0.526415504775423,0.002280736082575,0.0895582142769753,3.05100917095645,68.3326118619797
"116","NM_002466.4",-0.424725258488248,0.00226639904349407,0.0895582142769753,-3.05290204756481,381.902638829624
"117","NM_017812.4",-0.337181311297429,0.00230586371204521,0.0897710188749224,-3.04771778364019,172.614196661776
"118","NM_002354.3",-0.270016016821264,0.00239633639649751,0.0917253133281188,-3.03613299475332,333.603599603779
"119","NM_004484.4",0.552700372996739,0.00238385217338173,0.0917253133281188,3.037707503348,53.4586307136317
"120","NM_021243.3",-0.345820650912051,0.00241698643725309,0.0917447768473986,-3.0335450216639,164.272396362529
"121","NM_016404.3",0.348037695476615,0.00256182415212411,0.0946996595171214,3.01594181395639,184.164852967334
"122","NM_006636.4",-0.306801890711844,0.00253115760015761,0.0946996595171214,-3.01959157623101,197.83337422066
"123","NM_001001701.4",0.661441197498593,0.00257799292648146,0.0946996595171214,3.01403355347179,41.8459966815749
"124","NM_006096.4",0.620475609793102,0.00256477355799936,0.0946996595171214,3.01559290136332,214.221463809885
"125","NM_014046.4",-0.304395676577685,0.00269828331024146,0.0975450831599195,-3.00017071211449,231.972158193788
"126","NM_006813.3",0.580374323145671,0.00268127551832662,0.0975450831599195,3.00209606106825,49.954710082798
"127","NM_001878.4",0.270576363315513,0.00278848137037645,0.0982061129543664,2.9901416127141,383.536975884468
"128","NM_024116.4",-0.455216443126105,0.00276642037279591,0.0982061129543664,-2.99256688908903,124.435005429172
"129","NM_020143.4",-0.609755244173426,0.00282436900044391,0.0982061129543664,-2.98623349394791,53.0569589956664
"130","NM_017528.5",-0.43542758224408,0.00281515764910768,0.0982061129543664,-2.98723225365628,109.47813435701
"131","NM_006756.4",-0.389275040857234,0.0027530923456901,0.0982061129543664,-2.99404068046301,140.06838997465
"132","NM_006145.3",-0.401644710703286,0.00303603469699721,0.103674134825416,-2.96406568935205,92.7181615543646
"133","NM_001178077.1",-0.745117778804182,0.00304990868641179,0.103674134825416,-2.96266240634388,221.9125676534
