"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_001313945.2",40.8162985926293,6.18208966665101e-17,2.0405223362715e-12,8.36169997692996,21.3553756857897
"2","NM_001005221.2",0,1,1,0,0.0545438561104676
"3","NM_001005277.1",0,1,1,0,0.0545438561104676
"4","NM_015658.4",-0.0725902951123474,0.768837517553464,1,-0.29389581311275,175.155005963796
"5","NM_198317.3",-0.579750347396622,0.377095212469341,1,-0.883261106842851,19.4751346300841
"6","NM_032129.3",-0.0100856255773432,0.996363005348862,1,-0.00455831259916142,0.66741560917763
"7","NM_001160184.2",0.870568421987235,0.73168230656363,1,0.342888549182566,0.443080678215663
"8","NM_001367552.1",-0.963130096026193,0.891794727236444,1,-0.13603358944222,0.360177095176001
"9","NM_001291367.2",0,1,1,0,0.0551965959933529
"10","NM_001142467.2",-0.519997385488906,0.384205741760123,1,-0.870173232407724,85.4010632978709
"11","NM_021170.4",-1.20255382545593,0.242403554294477,1,-1.16900019130796,37.5418607575626
"12","NM_005101.4",-1.02358007775479,0.123187285663545,1,-1.54153230965679,120.704270164397
"13","NM_198576.4",-0.919857361894145,0.136116367874644,1,-1.49041036864601,28.8361559300479
"14","NM_001305275.2",-0.743419039991779,0.448141210910314,1,-0.758517549676055,8.02269638021299
"15","NM_001364727.2",-0.0100853985762152,0.99886094738357,1,-0.00142759123222656,0.223193917771841
"16","NM_001205252.2",-0.0103124892041346,0.993791475418486,1,-0.00778131015398499,1.15987285939996
"17","NM_001330306.2",-0.249402577156606,0.765084405140106,1,-0.298810806388694,2.68633174789544
"18","NM_001363525.2",0.874374099091327,0.687814120743489,1,0.401823235436526,1.54220643153403
"19","NM_017891.5",-1.69640552869426,0.177754651870592,1,-1.34770074657993,3.40485587636528
"20","NM_004195.3",-0.971857396399874,0.892106835328523,1,-0.135638794430976,0.0275081676129876
"21","NM_148901.2",0,1,1,0,0.0285028573986243
"22","NM_003327.4",0,1,1,0,0.0282258963533301
"23","NM_080605.4",-0.129440291010867,0.648731806002396,1,-0.455524694344688,20.4527515671563
"24","NM_001014980.3",-1.01346466741072,0.333894402559517,1,-0.966299367325419,3.21669834371912
"25","NM_194315.2",0.537970108813293,0.432530359590319,1,0.784869033726787,6.12211640156482
"26","NM_058167.3",-0.0752191675795071,0.785361430512554,1,-0.272338923112695,32.8376446784909
"27","NM_194457.2",-1.67708299479592,0.181380850245549,1,-1.33651546155755,5.37090053647757
"28","NM_001130413.4",-0.616276436411601,0.315620211490678,1,-1.00349889151609,16.6012808759975
"29","NM_030649.3",-0.431311458736884,0.407104629596769,1,-0.828999607022666,29.8337990599277
"30","NM_153339.3",-0.418447034450806,0.459308696727887,1,-0.739985658108916,56.6503569437304
"31","NM_017871.6",-0.229426900740062,0.409267103187915,1,-0.825184057331087,74.9320677879688
"32","NM_001256463.2",-0.940679387665162,0.390583914421598,1,-0.858558913013299,5.96082338060329
"33","NM_001029885.2",-0.674920074624709,0.299525358490946,1,-1.03745177733835,8.8747735243846
"34","NM_152228.3",-0.0100853913703884,0.998876911317396,1,-0.00140758338817149,0.223401036583392
"35","NM_001330311.2",-0.274927325108051,0.762668655513925,1,-0.301978234096989,15.1100413518086
"36","NM_004421.3",-1.43716672626203,0.0934050678642656,1,-1.67770313126242,15.7727970683563
"37","NM_001282585.1",-0.342256292646248,0.435022236586908,1,-0.780626439648183,9.69124840966025
"38","NM_032348.4",-0.493365415644678,0.544516788562248,1,-0.605996934916049,4.23053231263009
"39","NM_001282583.2",-0.645971973753622,0.368337841076576,1,-0.899591201759775,4.20897245997682
"40","NM_001127229.2",-1.94544475302326,0.162846271914369,1,-1.39556253210019,5.19305102789948
"41","NM_001127230.2",-0.971857396399872,0.892106835328523,1,-0.135638794430976,0.367756004430361
"42","NM_017900.3",-0.0328014072564907,0.919411546910751,1,-0.101174993783618,151.486240291907
"43","NM_001350497.1",0.146055421400358,0.568710303383099,1,0.569951927888263,36.405981902669
"44","NM_001350499.2",-0.0140056980472125,0.983286541702232,1,-0.0209487456931547,4.87891328710164
"45","NM_001350498.2",-4.56653688770303,0.51888224287763,1,-0.64506935356147,3.15458439733627
"46","NM_001320153.3",-0.175627053238868,0.322252996337661,1,-0.989838637213121,82.8769085826247
"47","NM_001320155.3",-0.0100855439373819,0.998247507779498,1,-0.00219642504151903,0.308973142600565
"48","NM_030937.6",0.581127772718578,0.586130695078863,1,0.544451673840063,1.93631211581348
"49","NM_001318485.2",0.195840512772173,0.422441545984307,1,0.802192617814306,29.8745572688527
"50","NM_017971.4",-0.0237462597229784,0.829202310797237,1,-0.21572474605109,192.871867043033
"51","NM_001243535.2",-0.971872546046089,0.828647156208857,1,-0.216436963630147,0.498413533991164
"52","NM_001243536.2",0.994438798334829,0.514025601703068,1,0.652582296608037,0.889298162279212
"53","NM_001146685.1",-0.971867344871286,0.861133966522929,1,-0.174930853430714,0.277750997114438
"54","NM_199121.3",0,1,1,0,0.109790587958145
"55","NM_022834.5",-0.591404086775685,0.723843834489568,1,-0.353326295169792,0.724298000380083
"56","NM_001039211.3",-0.0116316204475451,0.988680356663961,1,-0.0141875449681074,2.51571204966624
"57","NM_031921.6",-0.0118699997804152,0.993160565096349,1,-0.00857206543450322,1.95930426252024
"58","NM_001317238.2",-0.0583849910235217,0.885295773033408,1,-0.144259227725897,17.1882647770385
"59","NM_001170535.3",-0.202506740175897,0.730085275551316,1,-0.345012098126115,64.305969536323
"60","NM_018188.5",-2.71897791546429,0.0938472703630143,1,-1.67544338495779,2.1315888691156
"61","NM_001114748.2",-0.010085622680914,0.996559251029642,1,-0.00431235269316156,0.56134633740793
"62","NM_014188.3",0.110179795316512,0.242986049232039,1,1.16755564805271,206.74432936095
"63","NM_001242659.2",-0.863115957196111,0.214645887744754,1,-1.24089135240286,9.29381012055124
"64","NM_001170688.1",0,1,1,0,0.423855065839871
"65","NM_001170687.2",-1.33055169874714,0.193305679745586,1,-1.3008620452235,12.8836404236966
"66","NM_001170686.2",-2.22660628092659,0.357201579238194,1,-0.920710525868369,1.06344136547699
"67","NM_080875.3",0.621182770197112,0.830798101273577,1,0.213678086292697,5.44699326930241
"68","NM_001170689.2",-0.998511900298251,0.75149851817513,1,-0.316664065434447,1.12290951066933
"69","NM_006983.2",-0.424850179834378,0.801624231018751,1,-0.251245600280758,0.976755457844597
"70","NM_033489.3",-0.282758898216308,0.450582701268952,1,-0.754443930409492,17.6376451556107
"71","NM_001787.3",0.163201855317691,0.883080959490961,1,0.14706469075267,4.28654729851033
"72","NM_033486.3",-0.0441738358012778,0.926956185235185,1,-0.0916750951548827,23.6536923246187
"73","NM_033490.3",-0.135608347303437,0.861163293957378,1,-0.174893530350888,6.26787450028401
"74","NM_033487.3",0.397118498879124,0.402080379309149,1,0.837911553805175,16.9865718238173
"75","NM_001291345.2",-0.0610246388641273,0.923213736906908,1,-0.0963863447889236,9.10386648796449
"76","NM_001290264.2",-0.0102223130890112,0.980915811135439,1,-0.0239207647628735,9.37931697297398
"77","NM_001110781.3",-0.0219781390782733,0.915570163991307,1,-0.106015361710777,41.0417469588939
"78","NM_024011.4",-0.0806254815464645,0.845348771397568,1,-0.195056429725923,13.6710814713748
"79","NM_001313982.2",0.280280665013515,0.742453674375499,1,0.32860578569527,4.05361785524627
"80","NM_001313896.2",-0.33374904163955,0.834577089637104,1,-0.208834946202616,1.30807266623875
"81","NM_033529.4",-0.841904057871048,0.311602049575009,1,-1.01186616354546,6.37036228505488
"82","NM_001198995.1",-0.0641990142971129,0.899097191800512,1,-0.126801900120897,10.1888995423353
"83","NM_001353642.2",0.457908867892266,0.524989249587696,1,0.635673503969412,4.59418001094772
"84","NM_023018.5",2.44873374028522,0.286849466469363,1,1.06505848049396,1.98201217014136
"85","NM_001198993.2",-0.146529788795866,0.486742298469133,1,-0.695499541433355,64.6236531010736
"86","NM_001198994.2",-0.155158664258175,0.792431719537184,1,-0.263154213639879,5.6125090107873
"87","NM_001353641.2",0,1,1,0,0.0579907088978761
"88","NM_002074.5",-0.000506965782060331,0.994623882292457,1,-0.00673801531165989,328.680920603332
"89","NM_001330313.2",0.412668060501573,0.791409523051631,1,0.264480715076132,0.690190141992019
"90","NM_138705.4",-0.618697020017506,0.836468033837519,1,-0.20641336246671,0.691057067448263
"91","NM_178545.4",-0.860303670802131,0.370802817869593,1,-0.894970574737113,2.55625699432371
"92","NM_001304360.2",-0.0102833183594838,0.993960267089924,1,-0.00756975493384686,0.829812129681225
"93","NM_000815.5",-1.23260847587517,0.294035136503674,1,-1.04931071403184,1.36335042974234
"94","NM_002744.6",0.0725161101241486,0.70008062792501,1,0.385211629405346,50.6365014734006
"95","NM_003036.4",-0.173509334869904,0.495722940628668,1,-0.681234785441078,40.3216042646409
"96","NM_024848.3",-0.993295790492658,0.335620346105164,1,-0.962854898196801,5.13485889732434
"97","NM_001301060.2",-0.0138865288987384,0.977832874637296,1,-0.0277859465842544,8.54906535622351
"98","NM_007033.5",-0.0750351197332693,0.655545411863027,1,-0.4460717589711,62.7393078999909
"99","NM_018216.4",-0.243778962068248,0.459449949659674,1,-0.739752889061197,36.4745782165651
"100","NM_001195741.3",-0.971857396399875,0.892106835328523,1,-0.135638794430977,0.0541103639750895
"101","NM_001195740.3",-2.4550089265925,0.730149744598174,1,-0.344926344493356,0.111709413800961
"102","NM_001195738.3",-0.562443043414318,0.600131681755123,1,-0.524211156919688,6.25456794878263
"103","NM_152371.5",-0.219585215858377,0.728606134102248,1,-0.346980279574078,8.06727124162994
"104","NM_001195737.3",2.88674494336563,0.0455389316575305,1,1.99964203343281,2.23810941313478
"105","NM_001195736.3",-0.312302562437461,0.682085300731967,1,-0.40961921298614,3.94356742852726
"106","NM_199454.3",0,1,1,0,0.19508760796892
"107","NM_022114.4",-0.456923073196011,0.367869601240659,1,-0.900471094511616,9.02579090003405
"108","NM_014448.4",-0.357329134482586,0.49987586816648,1,-0.674685076129544,8.17122134604969
"109","NM_001409.4",-0.331098092085355,0.688650067127336,1,-0.400687700816419,3.08148775228396
"110","NM_182752.4",-0.0862164042091658,0.782475434853097,1,-0.276094565192513,17.8736378383722
"111","NM_017818.4",-0.1156004782366,0.612489601089459,1,-0.506522923872972,56.6054926937259
"112","NM_001204186.2",0,1,1,0,0.0835790509316753
