"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_003733.3",3.98847524604629,1.23067503794415e-82,3.93803705391747e-78,19.2571059426523,62.7701276664515
"2","NM_001547.5",3.48210719886167,3.86008546748034e-69,6.17594374369517e-65,17.5745399716491,150.510149986122
"3","NM_001549.6",3.97796222251307,1.24002615163445e-54,1.32265322753836e-50,15.5659564151768,106.583998066312
"4","NM_002038.4",3.19235826668379,2.79504861190799e-53,2.23596901331109e-49,15.3653546747597,115.015038949453
"5","NM_001548.5",2.79902005758091,9.51468065390858e-47,6.08920532488842e-43,14.3578398465314,107.252314560367
"6","NM_006187.4",3.03893870524293,2.73505978882476e-41,1.45865296971006e-37,13.4587494437834,52.2785289575386
"7","NM_022168.4",2.55577333679326,3.70755391666364e-39,1.69482882541885e-35,13.090987624224,45.0055895690814
"8","NM_002985.3",4.00609217595045,4.54537662214738e-39,1.81809383165117e-35,13.0755045960857,122.074891969972
"9","NM_014314.4",2.93272044243156,5.47083603190708e-38,1.94512535761105e-34,12.8849536520745,37.4970396147088
"10","NM_017631.6",2.42595144855094,1.14693096326467e-30,3.67006438935063e-27,11.5120691047213,37.0707705413422
"11","NM_006417.5",3.41658811513807,1.38767860127646e-29,4.03675705111324e-26,11.2950861855703,21.6145673325466
"12","NM_001565.4",5.32467757132777,2.62503478886543e-27,6.99987401740873e-24,10.8248517960534,19.4177074309827
"13","NM_017414.4",1.65402218323407,6.40998002926088e-27,1.57779193043322e-23,10.7427587912002,71.3861058350723
"14","NM_004510.4",2.01386633287426,5.18686615350163e-26,1.18553235747071e-22,10.5480384082082,42.1133420925617
"15","NM_016323.4",1.89108785980046,1.16597685096969e-25,2.4873395502786e-22,10.4716460171527,55.3739043156677
"16","NM_138287.3",1.95575477347939,9.97128513877225e-22,1.99419470722233e-18,9.57719854461782,36.9561252644269
"17","NM_001402.6",-0.857507004238849,1.47214082086207e-21,2.77100200745679e-18,-9.53686585582627,9252.93764977341
"18","NM_001369558.1",-0.938349762092517,3.03720396925788e-21,5.39930498957128e-18,-9.46144370301863,6323.56535822474
"19","NM_002568.4",-0.641492496576051,1.04689662792228e-20,1.76313922088869e-17,-9.33118914668055,1059.58269817853
"20","NM_006820.4",3.07057330398488,3.6994734653684e-19,5.91897257091617e-16,8.94559617999225,14.8267819436604
"21","NM_080657.5",4.73052038133872,2.07629331706359e-18,3.16377665965323e-15,8.75306808929223,11.6472092573772
"22","NM_016091.4",-0.788650211702798,2.74392583125466e-18,3.9910401215599e-15,-8.72156090225518,491.148667905763
"23","NM_001320139.2",-0.876060725493101,2.87595099885611e-17,4.00119808749551e-14,-8.45149542371901,3849.79413311549
"24","NM_005794.4",2.69728803799811,7.78148630419914e-17,1.03749908436695e-13,8.33451750207997,17.2785355804625
"25","NM_021105.3",2.01132382812589,2.6867286271876e-16,3.43890517365504e-13,8.18661637403815,56.6491081310013
"26","NM_001345927.2",2.65690223779961,1.15708333598973e-15,1.42405806416674e-12,8.00893256124669,14.7470073383323
"27","NM_002535.3",4.81739813168838,1.89235256597005e-15,2.2427181392028e-12,7.94820373715097,9.48336786314079
"28","NM_001032731.2",3.83885676368895,2.01253901496792e-15,2.29997271214137e-12,7.94057020545231,9.45357821125547
"29","NM_013332.4",2.34957681533369,4.9384117225001e-15,5.44911161063037e-12,7.82847040217078,124.280680986056
"30","NM_017554.3",1.52239576509806,6.53433333695088e-15,6.96973774830304e-12,7.79318018870968,40.8401829839667
"31","NM_000969.5",-0.808570703301903,6.96464378390606e-15,7.18908504649065e-12,-7.78512114848384,4499.34207425327
"32","NM_024625.4",2.97551481613466,2.15144670922097e-14,2.15137947651131e-11,7.64123697015874,11.9971968144198
"33","NM_001031683.4",2.6005689405416,7.74620944494499e-14,7.35999876200776e-11,7.4745608541613,61.6043492388919
"34","NM_012420.3",1.40830324831231,7.8202430672291e-14,7.35999876200776e-11,7.47330982001052,50.2911071017867
"35","NM_001007.5",-0.711368022102047,1.25963652302415e-13,1.15163168857856e-10,-7.41035302465559,5492.17476774037
"36","NM_001146105.2",1.83421474398618,2.19024222413644e-13,1.94682113694839e-10,7.33663906560625,32.484903203404
"37","NM_000986.4",-0.582084676293605,2.8431402297199e-13,2.45885524894073e-10,-7.30162440462227,4223.89891146266
"38","NM_001417.7",-0.695130238546958,4.99830043242894e-13,4.20896356677089e-10,-7.22534533482797,563.575399235006
"39","NM_003380.5",-0.454430181977899,5.96064063016442e-13,4.89062921858029e-10,-7.20137946437126,958.143099303854
"40","NM_001369556.1",-1.56999352484333,9.69350156116447e-13,7.75455891139254e-10,-7.13479003177485,110.192074836251
"41","NM_001028.3",-0.695164284450632,1.17803073976065e-12,9.19409893697588e-10,-7.10792203015474,3628.40635888301
"42","NM_000978.4",-0.889677604676466,3.59878455119402e-12,2.74184540127755e-09,-6.95210379382019,1053.81435857423
"43","NM_006084.5",1.75648168102409,4.51689498762748e-12,3.3613051792812e-09,6.91998561836117,66.4762136335293
"44","NM_005082.5",1.09343440876883,4.8190715907506e-12,3.50466981437337e-09,6.91080616509149,67.1256901130997
"45","NM_005617.4",-0.678571033020868,8.76532970483848e-12,6.23292856055837e-09,-6.82544480684728,1134.99253816998
"46","NM_002539.3",-0.683373975360854,9.72776618520787e-12,6.76693022087971e-09,-6.81047404687746,248.765744544196
"47","NM_033255.5",2.39256762539063,8.29710323444362e-11,5.64891502976513e-08,6.49511314026669,10.7112033391948
"48","NM_000968.4",-0.582741988732041,9.26958916648331e-11,6.17953299454791e-08,-6.47840723642274,3186.96929029792
"49","NM_016816.4",3.41866499607563,1.06020404606712e-10,6.92356515716361e-08,6.45810752584774,7.39225490992676
"50","NM_004223.5",1.54762918624189,1.43547208940336e-10,9.18673427776363e-08,6.41208027716571,94.4997157525858
"51","NM_000989.4",-0.586318731116578,1.7215555855144e-10,1.08015798393873e-07,-6.3843246154047,2922.99826685904
"52","NM_005801.4",-0.714084068730935,1.9008464684391e-10,1.16971511814582e-07,-6.36914515685695,789.811747907568
"53","NM_001011.4",-0.591944712681704,2.11450533227681e-10,1.27664256844388e-07,-6.35278545880188,3038.80013840362
"54","NM_033109.5",0.984808154092539,2.68315168543701e-10,1.58996612559813e-07,6.31606042781198,75.2347345184595
"55","NM_001278736.2",3.34143986303534,3.57480443130008e-10,2.07982121813039e-07,6.27154609061996,8.06106488186877
"56","NM_030882.4",1.48801169733195,4.65012162687129e-10,2.65712932032597e-07,6.23047866324423,36.1195340759311
"57","NM_001017.3",-0.521172350898626,4.95150273772089e-10,2.77970414218124e-07,-6.22063390564613,2536.2875148602
"58","NM_003141.4",1.69972511065907,7.7424341026951e-10,4.27155429055415e-07,6.15012000880338,20.9317111451936
"59","NM_016588.3",1.18140571665618,1.4749922443885e-09,7.99970793698094e-07,6.04707487074299,155.581365300321
"60","NM_058179.4",-0.67247186655265,1.6768241025791e-09,8.9427824097381e-07,-6.02637063429752,230.450217389478
"61","NM_022750.4",1.6150484003687,2.22600617183733e-09,1.16770445069873e-06,5.98039248086693,22.8906269724224
"62","NM_001010.3",-0.673772856330714,5.25204072883029e-09,2.71064598841678e-06,-5.83898306509793,2773.99030242605
"63","NM_017654.4",2.50907384344571,5.56794012412278e-09,2.82807168304452e-06,5.82924292084307,8.9904470711846
"64","NM_001146102.2",2.39326049852577,7.69066138321697e-09,3.84521052502437e-06,5.77510171105217,11.6598059411195
"65","NM_001959.4",-0.499737319306384,8.24749733125729e-09,4.0601794938908e-06,-5.76332047835602,1417.41039447377
"66","NM_004688.3",1.55469246324569,1.8175604376328e-08,8.81213885512304e-06,5.62852606155773,20.2866903082441
"67","NM_004052.3",1.17332176734164,2.28309576867538e-08,1.09039972390811e-05,5.58905428671999,193.2162363662
"68","NM_000971.4",-0.843798067254542,2.46245746203234e-08,1.15876729893489e-05,-5.57590538443539,2989.78157702705
"69","NM_000291.4",0.932070514208495,3.03669596663121e-08,1.40827875704684e-05,5.53930775174642,639.533682320302
"70","NM_001827.3",-0.508727046320152,3.28200520103765e-08,1.50029834897148e-05,-5.52568607562685,600.183741493248
"71","NM_022872.3",3.54341162794483,4.7045633254614e-08,2.12030030776675e-05,5.46212962928745,22.8913919791097
"72","NM_001307924.3",-0.745109522156451,6.35557631093683e-08,2.82461231074538e-05,-5.40849725005229,515.740356107278
"73","NM_002176.4",6.01172326928921,6.69503939691848e-08,2.93472007756157e-05,5.39916870562901,5.54752698992847
"74","NM_006074.5",3.350411787942,7.04889290287515e-08,3.00743365332136e-05,5.38992032265335,4.88521814382198
"75","NM_001178077.1",-0.756906049714519,6.96574734233266e-08,3.00743365332136e-05,-5.39205233201603,239.430056738575
"76","NM_001252641.2",-1.01647600575143,1.22775994300254e-07,5.16935400212345e-05,-5.2893139523933,61.4201647619025
"77","NM_001135651.3",0.849014046128242,1.33599029810095e-07,5.55199396739381e-05,5.27383912591855,72.2457673809046
"78","NM_004219.4",-0.625472547845997,1.68025314187354e-07,6.89313080600145e-05,-5.23162614227476,613.295350435347
