genes_names	tAI
NM_001005221.2|Homo sapiens olfactory receptor family 4 subfamily F member 29 (OR4F29), mRNA|[0:939](+)	0.205855012165944
NM_001005277.1|Homo sapiens olfactory receptor family 4 subfamily F member 16 (OR4F16), mRNA|[0:939](+)	0.205855012165944
NM_015658.4|Homo sapiens NOC2 like nucleolar associated transcriptional repressor (NOC2L), mRNA|[16:2266](+)	0.338443113523857
NM_198317.3|Homo sapiens kelch like family member 17 (KLHL17), mRNA|[110:2039](+)	0.322101160328776
NM_001367552.1|Homo sapiens pleckstrin homology domain containing N1 (PLEKHN1), transcript variant 3, mRNA|[50:1922](+)	0.31677706308825
NM_001369897.1|Homo sapiens PPARGC1 and ESRR induced regulator, muscle 1 (PERM1), transcript variant 3, mRNA|[268:2641](+)	0.273780789401821
NM_001142467.2|Homo sapiens hes family bHLH transcription factor 4 (HES4), transcript variant 1, mRNA|[124:868](+)	0.338975225221386
NM_005101.4|Homo sapiens ISG15 ubiquitin like modifier (ISG15), mRNA|[77:575](+)	0.393097447903751
NM_001364727.2|Homo sapiens agrin (AGRN), transcript variant 3, mRNA|[563:6398](+)	0.336029292517021
NM_001205252.2|Homo sapiens ring finger protein 223 (RNF223), mRNA|[300:1050](+)	0.279529303662233
NM_001330306.2|Homo sapiens chromosome 1 open reading frame 159 (C1orf159), transcript variant 1, mRNA|[219:1362](+)	0.294351208329374
NM_001371649.1|Homo sapiens tubulin tyrosine ligase like 10 (TTLL10), transcript variant 3, mRNA|[196:2218](+)	0.321832195614025
NM_004195.3|Homo sapiens TNF receptor superfamily member 18 (TNFRSF18), transcript variant 1, mRNA|[21:747](+)	0.324753163076263
NM_003327.4|Homo sapiens TNF receptor superfamily member 4 (TNFRSF4), mRNA|[26:860](+)	0.333261905807293
NM_080605.4|Homo sapiens beta-1,3-galactosyltransferase 6 (B3GALT6), mRNA|[42:1032](+)	0.39834628267517
NM_001014980.3|Homo sapiens C1q and TNF related 12 (C1QTNF12), mRNA|[32:941](+)	0.343531290020472
NM_001130413.4|Homo sapiens sodium channel epithelial 1 subunit delta (SCNN1D), transcript variant 1, mRNA|[226:2635](+)	0.320535695562136
NM_030649.3|Homo sapiens ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 (ACAP3), mRNA|[115:2620](+)	0.3690877479659
NM_001029885.2|Homo sapiens ceramide-1-phosphate transfer protein (CPTP), mRNA|[376:1021](+)	0.36706483932912
NM_152228.3|Homo sapiens taste 1 receptor member 3 (TAS1R3), mRNA|[66:2625](+)	0.358177573270272
NM_001330311.2|Homo sapiens dishevelled segment polarity protein 1 (DVL1), transcript variant 1, mRNA|[353:2441](+)	0.331553903637848
NM_001282583.2|Homo sapiens matrix remodeling associated 8 (MXRA8), transcript variant 4, mRNA|[536:1838](+)	0.378315129590231
NM_001127229.2|Homo sapiens aurora kinase A interacting protein 1 (AURKAIP1), transcript variant 2, mRNA|[245:845](+)	0.315940664024212
NM_001320153.3|Homo sapiens cyclin L2 (CCNL2), transcript variant 3, mRNA|[1419:2316](+)	0.267731934042572
NM_001318485.2|Homo sapiens mitochondrial ribosomal protein L20 (MRPL20), transcript variant 2, mRNA; nuclear gene for mitochondrial product|[76:385](+)	0.270179245919985
NM_001146685.1|Homo sapiens transmembrane protein 88B (TMEM88B), mRNA|[0:492](+)	0.308632727799539
NM_022834.5|Homo sapiens von Willebrand factor A domain containing 1 (VWA1), transcript variant 1, mRNA|[59:1397](+)	0.3278939399555
NM_001039211.3|Homo sapiens ATPase family AAA domain containing 3C (ATAD3C), mRNA|[995:2231](+)	0.330395119254958
NM_001317238.2|Homo sapiens ATPase family AAA domain containing 3B (ATAD3B), transcript variant 2, mRNA|[651:2460](+)	0.331251420923649
NM_018188.5|Homo sapiens ATPase family AAA domain containing 3A (ATAD3A), transcript variant 1, mRNA|[107:2012](+)	0.332362919043801
NM_001114748.2|Homo sapiens transmembrane protein 240 (TMEM240), mRNA|[278:800](+)	0.36332392675025
NM_014188.3|Homo sapiens SSU72 homolog, RNA polymerase II CTD phosphatase (SSU72), mRNA|[306:891](+)	0.262845569332378
NM_001242659.2|Homo sapiens fibronectin type III domain containing 10 (FNDC10), mRNA|[120:801](+)	0.343554278226142
NM_080875.3|Homo sapiens MIB E3 ubiquitin protein ligase 2 (MIB2), transcript variant 1, mRNA|[131:3173](+)	0.388889346693877
NM_006983.2|Homo sapiens matrix metallopeptidase 23B (MMP23B), mRNA|[46:1219](+)	0.36033291624637
NM_033489.3|Homo sapiens cyclin dependent kinase 11B (CDK11B), transcript variant 5, mRNA|[253:2500](+)	0.340669496723508
NM_001290264.2|Homo sapiens solute carrier family 35 member E2B (SLC35E2B), transcript variant 1, mRNA|[912:2130](+)	0.292566846107207
NM_001313896.2|Homo sapiens cyclin dependent kinase 11A (CDK11A), transcript variant 5, mRNA|[113:2465](+)	0.344420601419083
NM_001198994.2|Homo sapiens NAD kinase (NADK), transcript variant 3, mRNA|[167:1943](+)	0.304295253165328
NM_002074.5|Homo sapiens G protein subunit beta 1 (GNB1), transcript variant 1, mRNA|[363:1386](+)	0.294595208331629
NM_138705.4|Homo sapiens calmodulin like 6 (CALML6), transcript variant 1, mRNA|[21:567](+)	0.354618074495376
NM_178545.4|Homo sapiens transmembrane protein 52 (TMEM52), mRNA|[14:644](+)	0.273972862588442
NM_001304360.2|Homo sapiens cilia and flagella associated protein 74 (CFAP74), mRNA|[105:5025](+)	0.329035248804273
NM_000815.5|Homo sapiens gamma-aminobutyric acid type A receptor subunit delta (GABRD), mRNA|[79:1438](+)	0.329652966030481
NM_003036.4|Homo sapiens SKI proto-oncogene (SKI), mRNA|[448:2635](+)	0.352797734950134
NM_024848.3|Homo sapiens MORN repeat containing 1 (MORN1), transcript variant 1, mRNA|[21:1515](+)	0.275913297896606
NM_007033.5|Homo sapiens retention in endoplasmic reticulum sorting receptor 1 (RER1), mRNA|[125:716](+)	0.244236497063197
NM_001242672.2|Homo sapiens tetratricopeptide repeat domain 34 (TTC34), mRNA|[41:3281](+)	0.360007256217894
NM_080431.5|Homo sapiens actin related protein T2 (ACTRT2), mRNA|[220:1354](+)	0.347972328013963
NM_022114.4|Homo sapiens PR/SET domain 16 (PRDM16), transcript variant 1, mRNA|[57:3888](+)	0.332418593171894
NM_014448.4|Homo sapiens Rho guanine nucleotide exchange factor 16 (ARHGEF16), mRNA|[166:2296](+)	0.352144455441871
NM_001409.4|Homo sapiens multiple EGF like domains 6 (MEGF6), mRNA|[240:4866](+)	0.332923289492822
NM_182752.4|Homo sapiens tumor protein p63 regulated 1 like (TPRG1L), mRNA|[58:877](+)	0.311914749859023
NM_017818.4|Homo sapiens WD repeat containing, antisense to TP73 (WRAP73), mRNA|[104:1487](+)	0.28890426350302
NM_005427.4|Homo sapiens tumor protein p73 (TP73), transcript variant 1, mRNA|[159:2070](+)	0.310419630867868
NM_152492.3|Homo sapiens coiled-coil domain containing 27 (CCDC27), mRNA|[32:2003](+)	0.351865814619447
NM_020710.3|Homo sapiens leucine rich repeat containing 47 (LRRC47), mRNA|[22:1774](+)	0.337297341385177
NM_014704.4|Homo sapiens centrosomal protein 104 (CEP104), mRNA|[337:3115](+)	0.245025293935915
NM_207356.3|Homo sapiens chromosome 1 open reading frame 174 (C1orf174), mRNA|[86:818](+)	0.319603965162918
NM_018836.4|Homo sapiens adherens junctions associated protein 1 (AJAP1), transcript variant 1, mRNA|[817:2053](+)	0.285350062425992
NM_015102.5|Homo sapiens nephrocystin 4 (NPHP4), transcript variant 1, mRNA|[220:4501](+)	0.306277459017906
NM_001199862.2|Homo sapiens potassium voltage-gated channel subfamily A regulatory beta subunit 2 (KCNAB2), transcript variant 5, mRNA|[322:1570](+)	0.327963886992699
NM_015557.3|Homo sapiens chromodomain helicase DNA binding protein 5 (CHD5), mRNA|[298:6163](+)	0.328470181091172
NM_000983.4|Homo sapiens ribosomal protein L22 (RPL22), mRNA|[22:409](+)	0.235371695487126
NM_207396.3|Homo sapiens ring finger protein 207 (RNF207), mRNA|[184:2089](+)	0.340097616037879
NM_012405.4|Homo sapiens isoprenylcysteine carboxyl methyltransferase (ICMT), mRNA|[53:908](+)	0.242161820113623
NM_001024598.4|Homo sapiens hes family bHLH transcription factor 3 (HES3), mRNA|[78:639](+)	0.32096746358273
NM_207370.4|Homo sapiens G protein-coupled receptor 153 (GPR153), mRNA|[383:2213](+)	0.322008619513123
NM_019089.5|Homo sapiens hes family bHLH transcription factor 2 (HES2), mRNA|[99:621](+)	0.322764649403399
NM_031475.3|Homo sapiens espin (ESPN), transcript variant 1, mRNA|[180:2745](+)	0.345432255586439
NM_024654.5|Homo sapiens nucleolar protein 9 (NOL9), mRNA|[11:2120](+)	0.198836993458398
NM_138697.4|Homo sapiens taste 1 receptor member 1 (TAS1R1), transcript variant 2, mRNA|[67:2593](+)	0.267305924426721
NM_005341.4|Homo sapiens zinc finger and BTB domain containing 48 (ZBTB48), transcript variant 1, mRNA|[212:2279](+)	0.338232727964088
NM_001324309.2|Homo sapiens kelch like family member 21 (KLHL21), transcript variant 2, mRNA|[52:1555](+)	0.348681967675865
NM_153812.3|Homo sapiens PHD finger protein 13 (PHF13), mRNA|[336:1239](+)	0.287441045996202
NM_138350.3|Homo sapiens THAP domain containing 3 (THAP3), transcript variant 2, mRNA|[69:597](+)	0.335859656899145
NM_018198.4|Homo sapiens DnaJ heat shock protein family (Hsp40) member C11 (DNAJC11), mRNA|[16:1696](+)	0.257435107135693
NM_015215.4|Homo sapiens calmodulin binding transcription activator 1 (CAMTA1), transcript variant 1, mRNA|[77:5099](+)	0.300143699251345
NM_004781.4|Homo sapiens vesicle associated membrane protein 3 (VAMP3), mRNA|[88:391](+)	0.275337702534063
NM_021995.2|Homo sapiens urotensin 2 (UTS2), transcript variant 1, mRNA|[60:480](+)	0.226141592718134
NM_001561.6|Homo sapiens TNF receptor superfamily member 9 (TNFRSF9), mRNA|[140:908](+)	0.263897872956889
NM_007262.5|Homo sapiens Parkinsonism associated deglycase (PARK7), transcript variant 1, mRNA|[106:676](+)	0.288146860054495
NM_018948.4|Homo sapiens ERBB receptor feedback inhibitor 1 (ERRFI1), mRNA|[225:1614](+)	0.186901012368589
NM_012102.4|Homo sapiens arginine-glutamic acid dipeptide repeats (RERE), transcript variant 1, mRNA|[810:5511](+)	0.276978340888002
NM_001201483.4|Homo sapiens enolase 1 (ENO1), transcript variant 2, mRNA|[1775:2801](+)	0.297431728271968
NM_001215.4|Homo sapiens carbonic anhydrase 6 (CA6), transcript variant 1, mRNA|[19:946](+)	0.274830636798717
NM_207420.2|Homo sapiens solute carrier family 2 member 7 (SLC2A7), mRNA|[0:1539](+)	0.289604156661752
NM_001328619.2|Homo sapiens solute carrier family 2 member 5 (SLC2A5), transcript variant 3, mRNA|[269:1775](+)	0.282125772412829
NM_024980.5|Homo sapiens G protein-coupled receptor 157 (GPR157), mRNA|[75:1083](+)	0.277323061029973
NM_004285.4|Homo sapiens hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase (H6PD), transcript variant 2, mRNA|[303:2679](+)	0.321629539183139
NM_025106.4|Homo sapiens splA/ryanodine receptor domain and SOCS box containing 1 (SPSB1), mRNA|[327:1149](+)	0.277141716767398
NM_032315.3|Homo sapiens solute carrier family 25 member 33 (SLC25A33), mRNA|[227:1193](+)	0.204853952308351
NM_001010866.4|Homo sapiens transmembrane protein 201 (TMEM201), transcript variant 2, mRNA|[20:1199](+)	0.322043468289088
NM_001350234.2|Homo sapiens phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta (PIK3CD), transcript variant 2, mRNA|[315:3447](+)	0.318859389459765
NM_014944.4|Homo sapiens calsyntenin 1 (CLSTN1), transcript variant 2, mRNA|[793:3709](+)	0.289279306946123
NM_020248.3|Homo sapiens catenin beta interacting protein 1 (CTNNBIP1), transcript variant 1, mRNA|[318:564](+)	0.311716247561375
NM_032368.5|Homo sapiens leucine zipper and CTNNBIP1 domain containing (LZIC), transcript variant 1, mRNA|[310:883](+)	0.307824667860967
