genes_names	tAI
NM_001005221.2|Homo sapiens olfactory receptor family 4 subfamily F member 29 (OR4F29), mRNA|[0:939](+)	0.180200712908622
NM_001005277.1|Homo sapiens olfactory receptor family 4 subfamily F member 16 (OR4F16), mRNA|[0:939](+)	0.180200712908622
NM_015658.4|Homo sapiens NOC2 like nucleolar associated transcriptional repressor (NOC2L), mRNA|[16:2266](+)	0.274458378752922
NM_198317.3|Homo sapiens kelch like family member 17 (KLHL17), mRNA|[110:2039](+)	0.267584876836688
NM_001367552.1|Homo sapiens pleckstrin homology domain containing N1 (PLEKHN1), transcript variant 3, mRNA|[50:1922](+)	0.252746124172233
NM_001369897.1|Homo sapiens PPARGC1 and ESRR induced regulator, muscle 1 (PERM1), transcript variant 3, mRNA|[268:2641](+)	0.211963868466142
NM_001142467.2|Homo sapiens hes family bHLH transcription factor 4 (HES4), transcript variant 1, mRNA|[124:868](+)	0.2611374875969
NM_005101.4|Homo sapiens ISG15 ubiquitin like modifier (ISG15), mRNA|[77:575](+)	0.320107044849369
NM_001364727.2|Homo sapiens agrin (AGRN), transcript variant 3, mRNA|[563:6398](+)	0.269382140975551
NM_001205252.2|Homo sapiens ring finger protein 223 (RNF223), mRNA|[300:1050](+)	0.22234358255888
NM_001330306.2|Homo sapiens chromosome 1 open reading frame 159 (C1orf159), transcript variant 1, mRNA|[219:1362](+)	0.229608454134364
NM_001371649.1|Homo sapiens tubulin tyrosine ligase like 10 (TTLL10), transcript variant 3, mRNA|[196:2218](+)	0.254641516157749
NM_004195.3|Homo sapiens TNF receptor superfamily member 18 (TNFRSF18), transcript variant 1, mRNA|[21:747](+)	0.254229007482536
NM_003327.4|Homo sapiens TNF receptor superfamily member 4 (TNFRSF4), mRNA|[26:860](+)	0.262534523181838
NM_080605.4|Homo sapiens beta-1,3-galactosyltransferase 6 (B3GALT6), mRNA|[42:1032](+)	0.317552889568005
NM_001014980.3|Homo sapiens C1q and TNF related 12 (C1QTNF12), mRNA|[32:941](+)	0.273309901415793
NM_001130413.4|Homo sapiens sodium channel epithelial 1 subunit delta (SCNN1D), transcript variant 1, mRNA|[226:2635](+)	0.254241633051479
NM_030649.3|Homo sapiens ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 (ACAP3), mRNA|[115:2620](+)	0.30258092348287
NM_001029885.2|Homo sapiens ceramide-1-phosphate transfer protein (CPTP), mRNA|[376:1021](+)	0.296353519006227
NM_152228.3|Homo sapiens taste 1 receptor member 3 (TAS1R3), mRNA|[66:2625](+)	0.287286116640968
NM_001330311.2|Homo sapiens dishevelled segment polarity protein 1 (DVL1), transcript variant 1, mRNA|[353:2441](+)	0.267526580137148
NM_001282583.2|Homo sapiens matrix remodeling associated 8 (MXRA8), transcript variant 4, mRNA|[536:1838](+)	0.303570727328569
NM_001127229.2|Homo sapiens aurora kinase A interacting protein 1 (AURKAIP1), transcript variant 2, mRNA|[245:845](+)	0.251528937038289
NM_001320153.3|Homo sapiens cyclin L2 (CCNL2), transcript variant 3, mRNA|[1419:2316](+)	0.228670614155264
NM_001318485.2|Homo sapiens mitochondrial ribosomal protein L20 (MRPL20), transcript variant 2, mRNA; nuclear gene for mitochondrial product|[76:385](+)	0.223203062206893
NM_001146685.1|Homo sapiens transmembrane protein 88B (TMEM88B), mRNA|[0:492](+)	0.241584539958974
NM_022834.5|Homo sapiens von Willebrand factor A domain containing 1 (VWA1), transcript variant 1, mRNA|[59:1397](+)	0.261095229507112
NM_001039211.3|Homo sapiens ATPase family AAA domain containing 3C (ATAD3C), mRNA|[995:2231](+)	0.274296596636399
