genes_names	tAI
NM_001005221.2|Homo sapiens olfactory receptor family 4 subfamily F member 29 (OR4F29), mRNA|[0:939](+)	0.170662899730733
NM_001005277.1|Homo sapiens olfactory receptor family 4 subfamily F member 16 (OR4F16), mRNA|[0:939](+)	0.170662899730733
NM_015658.4|Homo sapiens NOC2 like nucleolar associated transcriptional repressor (NOC2L), mRNA|[16:2266](+)	0.252404812085275
NM_198317.3|Homo sapiens kelch like family member 17 (KLHL17), mRNA|[110:2039](+)	0.249947508219944
NM_001367552.1|Homo sapiens pleckstrin homology domain containing N1 (PLEKHN1), transcript variant 3, mRNA|[50:1922](+)	0.237030639909484
NM_001369897.1|Homo sapiens PPARGC1 and ESRR induced regulator, muscle 1 (PERM1), transcript variant 3, mRNA|[268:2641](+)	0.199698316156268
NM_001142467.2|Homo sapiens hes family bHLH transcription factor 4 (HES4), transcript variant 1, mRNA|[124:868](+)	0.243384325206888
NM_005101.4|Homo sapiens ISG15 ubiquitin like modifier (ISG15), mRNA|[77:575](+)	0.291935828949598
NM_001364727.2|Homo sapiens agrin (AGRN), transcript variant 3, mRNA|[563:6398](+)	0.25196475543269
NM_001205252.2|Homo sapiens ring finger protein 223 (RNF223), mRNA|[300:1050](+)	0.206488913948129
NM_001330306.2|Homo sapiens chromosome 1 open reading frame 159 (C1orf159), transcript variant 1, mRNA|[219:1362](+)	0.219165020368311
NM_001371649.1|Homo sapiens tubulin tyrosine ligase like 10 (TTLL10), transcript variant 3, mRNA|[196:2218](+)	0.239672197748277
NM_004195.3|Homo sapiens TNF receptor superfamily member 18 (TNFRSF18), transcript variant 1, mRNA|[21:747](+)	0.238268232293877
NM_003327.4|Homo sapiens TNF receptor superfamily member 4 (TNFRSF4), mRNA|[26:860](+)	0.246416445656912
NM_080605.4|Homo sapiens beta-1,3-galactosyltransferase 6 (B3GALT6), mRNA|[42:1032](+)	0.287269833271082
NM_001014980.3|Homo sapiens C1q and TNF related 12 (C1QTNF12), mRNA|[32:941](+)	0.252312070523661
NM_001130413.4|Homo sapiens sodium channel epithelial 1 subunit delta (SCNN1D), transcript variant 1, mRNA|[226:2635](+)	0.239690444804702
NM_030649.3|Homo sapiens ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 (ACAP3), mRNA|[115:2620](+)	0.275178756890777
NM_001029885.2|Homo sapiens ceramide-1-phosphate transfer protein (CPTP), mRNA|[376:1021](+)	0.272891820203758
NM_152228.3|Homo sapiens taste 1 receptor member 3 (TAS1R3), mRNA|[66:2625](+)	0.265188216058308
NM_001330311.2|Homo sapiens dishevelled segment polarity protein 1 (DVL1), transcript variant 1, mRNA|[353:2441](+)	0.250596929421502
NM_001282583.2|Homo sapiens matrix remodeling associated 8 (MXRA8), transcript variant 4, mRNA|[536:1838](+)	0.280865625127071
NM_001127229.2|Homo sapiens aurora kinase A interacting protein 1 (AURKAIP1), transcript variant 2, mRNA|[245:845](+)	0.233566482852808
NM_001320153.3|Homo sapiens cyclin L2 (CCNL2), transcript variant 3, mRNA|[1419:2316](+)	0.21470703221801
NM_001318485.2|Homo sapiens mitochondrial ribosomal protein L20 (MRPL20), transcript variant 2, mRNA; nuclear gene for mitochondrial product|[76:385](+)	0.210672926231591
NM_001146685.1|Homo sapiens transmembrane protein 88B (TMEM88B), mRNA|[0:492](+)	0.226809463714921
NM_022834.5|Homo sapiens von Willebrand factor A domain containing 1 (VWA1), transcript variant 1, mRNA|[59:1397](+)	0.240644292780281
NM_001039211.3|Homo sapiens ATPase family AAA domain containing 3C (ATAD3C), mRNA|[995:2231](+)	0.250847505050991
NM_001317238.2|Homo sapiens ATPase family AAA domain containing 3B (ATAD3B), transcript variant 2, mRNA|[651:2460](+)	0.252141093518702
NM_018188.5|Homo sapiens ATPase family AAA domain containing 3A (ATAD3A), transcript variant 1, mRNA|[107:2012](+)	0.254492683472519
NM_001114748.2|Homo sapiens transmembrane protein 240 (TMEM240), mRNA|[278:800](+)	0.272068748116104
NM_014188.3|Homo sapiens SSU72 homolog, RNA polymerase II CTD phosphatase (SSU72), mRNA|[306:891](+)	0.216576978342599
NM_001242659.2|Homo sapiens fibronectin type III domain containing 10 (FNDC10), mRNA|[120:801](+)	0.242594454666318
NM_080875.3|Homo sapiens MIB E3 ubiquitin protein ligase 2 (MIB2), transcript variant 1, mRNA|[131:3173](+)	0.286576341836648
NM_006983.2|Homo sapiens matrix metallopeptidase 23B (MMP23B), mRNA|[46:1219](+)	0.265273870196076
NM_033489.3|Homo sapiens cyclin dependent kinase 11B (CDK11B), transcript variant 5, mRNA|[253:2500](+)	0.266354472343487
NM_001290264.2|Homo sapiens solute carrier family 35 member E2B (SLC35E2B), transcript variant 1, mRNA|[912:2130](+)	0.217955531101138
NM_001313896.2|Homo sapiens cyclin dependent kinase 11A (CDK11A), transcript variant 5, mRNA|[113:2465](+)	0.265795502621489
NM_001198994.2|Homo sapiens NAD kinase (NADK), transcript variant 3, mRNA|[167:1943](+)	0.233384131174183
NM_002074.5|Homo sapiens G protein subunit beta 1 (GNB1), transcript variant 1, mRNA|[363:1386](+)	0.230179750201541
NM_138705.4|Homo sapiens calmodulin like 6 (CALML6), transcript variant 1, mRNA|[21:567](+)	0.277749535750852
NM_178545.4|Homo sapiens transmembrane protein 52 (TMEM52), mRNA|[14:644](+)	0.194768691018609
NM_001304360.2|Homo sapiens cilia and flagella associated protein 74 (CFAP74), mRNA|[105:5025](+)	0.248423082224256
NM_000815.5|Homo sapiens gamma-aminobutyric acid type A receptor subunit delta (GABRD), mRNA|[79:1438](+)	0.246769172392302
NM_003036.4|Homo sapiens SKI proto-oncogene (SKI), mRNA|[448:2635](+)	0.257075625752596
NM_024848.3|Homo sapiens MORN repeat containing 1 (MORN1), transcript variant 1, mRNA|[21:1515](+)	0.224988195640106
NM_007033.5|Homo sapiens retention in endoplasmic reticulum sorting receptor 1 (RER1), mRNA|[125:716](+)	0.190433176011256
