"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_001005221.2",0,1,1,0,0.0545438561104676
"2","NM_001005277.1",0,1,1,0,0.0545438561104676
"3","NM_015658.4",-0.00672135441847247,0.978239089301154,1,-0.0272766390138699,175.155005963796
"4","NM_198317.3",0.421901556351418,0.507411750689579,1,0.662873225824779,19.4751346300841
"5","NM_032129.3",0.888494851040419,0.677303056417589,1,0.416146156980581,0.66741560917763
"6","NM_001160184.2",0.00631969269704113,0.998060282402195,1,0.00243107788239494,0.443080678215663
"7","NM_001367552.1",-0.391313107413189,0.955758831134484,1,-0.0554765254326476,0.360177095176001
"8","NM_001291367.2",0,1,1,0,0.0551965959933529
"9","NM_001142467.2",0.53406028591021,0.36707271895562,1,0.901970160697301,85.4010632978709
"10","NM_021170.4",0.458623999021077,0.65231729096989,1,0.450545309929264,37.5418607575626
"11","NM_005101.4",0.404047714907712,0.540237587422434,1,0.612453752402763,120.704270164397
"12","NM_198576.4",0.338634832822699,0.572138162826137,1,0.564905323130638,28.8361559300479
"13","NM_001305275.2",0.194510240189524,0.837718830392033,1,0.204812231300974,8.02269638021299
"14","NM_001364727.2",0.00624846953135307,0.999294178484098,1,0.000884616199677419,0.223193917771841
"15","NM_001205252.2",0.00623524987584927,0.996212032707889,1,0.00474753079296953,1.15987285939996
"16","NM_001330306.2",-0.523693172008783,0.54017490466183,1,-0.612548522756302,2.68633174789544
"17","NM_001363525.2",2.72126776401057,0.171313765100986,1,1.36799460413777,1.54220643153403
"18","NM_017891.5",0.486145062741865,0.652902497162388,1,0.449733660586043,3.40485587636528
"19","NM_004195.3",-0.955375546809003,0.893908106791597,1,-0.133360722498867,0.0275081676129876
"20","NM_148901.2",0,1,1,0,0.0285028573986243
"21","NM_003327.4",0,1,1,0,0.0282258963533301
"22","NM_080605.4",-0.0324844736052547,0.907284947785013,1,-0.116463833378307,20.4527515671563
"23","NM_001014980.3",0.776303141805234,0.382644988483399,1,0.87303318796976,3.21669834371912
"24","NM_194315.2",-0.373908394881335,0.618112794434527,1,-0.498526785895837,6.12211640156482
"25","NM_058167.3",0.156002203137788,0.562789394851476,1,0.578703291223735,32.8376446784909
"26","NM_194457.2",0.259841616976646,0.822675471369722,1,0.224105167870377,5.37090053647757
"27","NM_001130413.4",0.168237194841756,0.777283973297969,1,0.282860241226702,16.6012808759975
"28","NM_030649.3",0.269465933487101,0.596669231678355,1,0.529196374165453,29.8337990599277
"29","NM_153339.3",0.289255138444163,0.605571210720716,1,0.51640552075726,56.6503569437304
"30","NM_017871.6",0.20472682185463,0.453184943517086,1,0.750115834598572,74.9320677879688
"31","NM_001256463.2",0.0830929825756595,0.93682233649553,1,0.0792643816024139,5.96082338060329
"32","NM_001029885.2",0.239636667227676,0.695959557027111,1,0.390780409197031,8.8747735243846
"33","NM_152228.3",0.00624471820444748,0.99930448472826,1,0.000871699233185863,0.223401036583392
"34","NM_001330311.2",0.599571641387589,0.504693486815918,1,0.667123130084381,15.1100413518086
"35","NM_004421.3",-0.076653575646425,0.925044981763555,1,-0.0940807878408636,15.7727970683563
"36","NM_001282585.1",0.0482269529457119,0.907291963996324,1,0.116454980026502,9.69124840966025
"37","NM_032348.4",0.202092199392426,0.790151687412711,1,0.266113643937216,4.23053231263009
"38","NM_001282583.2",0.370673571336043,0.553577768066691,1,0.59240746597213,4.20897245997682
"39","NM_001127229.2",-0.344530819456814,0.793846911568947,1,-0.261318486492841,5.19305102789948
"40","NM_001127230.2",2.72463726335372,0.700649895568507,1,0.384443323348228,0.367756004430361
"41","NM_017900.3",0.275685240780989,0.392897186266073,1,0.854375102990101,151.486240291907
"42","NM_001350497.1",-0.197244583490749,0.454420117464943,1,-0.748066383536033,36.405981902669
"43","NM_001350499.2",-0.0943139476402514,0.888231740714414,1,-0.140542037788481,4.87891328710164
"44","NM_001350498.2",1.13003630399944,0.871467125257888,1,0.161795209939791,3.15458439733627
"45","NM_001320153.3",0.0222390368457767,0.8980523959081,1,0.128122038084395,82.8769085826247
"46","NM_001320155.3",0.914365700467076,0.840820846082827,1,0.200843630102532,0.308973142600565
"47","NM_030937.6",1.32900513631132,0.179948207149835,1,1.34091452069014,1.93631211581348
"48","NM_001318485.2",0.0222460204398404,0.928478718903444,1,0.0897590138171277,29.8745572688527
"49","NM_017971.4",-0.0899335522297185,0.414799191186331,1,-0.815477233350358,192.871867043033
"50","NM_001243535.2",2.49313612965208,0.568552548997247,1,0.570184527727731,0.498413533991164
"51","NM_001243536.2",-1.85157823261821,0.297274300372796,1,-1.04229635800467,0.889298162279212
"52","NM_001146685.1",0.914734896642803,0.86845553780625,1,0.165620596092349,0.277750997114438
"53","NM_199121.3",0,1,1,0,0.109790587958145
"54","NM_022834.5",0.00596737512353818,0.996938342527735,1,0.0038372280103475,0.724298000380083
"55","NM_001039211.3",0.00685816061824522,0.993264490190623,1,0.0084418099314563,2.51571204966624
"56","NM_031921.6",1.47399497376466,0.238075035939637,1,1.17981189894183,1.95930426252024
"57","NM_001317238.2",0.00780880365207649,0.98447234840133,1,0.0194622538480134,17.1882647770385
"58","NM_001170535.3",0.253762873085545,0.663972730741763,1,0.434434801145546,64.305969536323
"59","NM_018188.5",-1.68606369163998,0.241972533744621,1,-1.17007066192588,2.1315888691156
"60","NM_001114748.2",1.91298357517327,0.372361312592284,1,0.892058993853005,0.56134633740793
"61","NM_014188.3",0.0832463263612031,0.376309080392749,1,0.884717378337028,206.74432936095
"62","NM_001242659.2",0.00892454811855762,0.989216798469282,1,0.0135151503573243,9.29381012055124
"63","NM_001170688.1",2.8792720410383,0.685202663210592,1,0.405373940558572,0.423855065839871
"64","NM_001170687.2",0.0631267454140139,0.949339686424768,1,0.0635360086174991,12.8836404236966
"65","NM_001170686.2",-0.718530892086834,0.751295210484336,1,-0.316931986498406,1.06344136547699
"66","NM_080875.3",1.92422689034885,0.505262450621643,1,0.666232581308857,5.44699326930241
"67","NM_001170689.2",0.607594277097018,0.841374974203169,1,0.200135034289906,1.12290951066933
"68","NM_006983.2",0.0156249730547153,0.992349146733255,1,0.00958906951260752,0.976755457844597
"69","NM_033489.3",0.0306580748310716,0.932631392954985,1,0.084534601894391,17.6376451556107
"70","NM_001787.3",0.80152652878252,0.46105263908514,1,0.737114636459911,4.28654729851033
"71","NM_033486.3",-0.161124271121271,0.738908646627528,1,-0.333298930486021,23.6536923246187
"72","NM_033490.3",-0.121613784294607,0.87495849357203,1,-0.157363353087719,6.26787450028401
"73","NM_033487.3",-0.123340009751906,0.800488624100845,1,-0.252714782132926,16.9865718238173
"74","NM_001291345.2",0.449070801630328,0.463419824194086,1,0.733227272278782,9.10386648796449
"75","NM_001290264.2",-0.0836830027165596,0.84524987759605,1,-0.195182756720908,9.37931697297398
"76","NM_001110781.3",0.0734183397850841,0.718030920243313,1,0.361091669864402,41.0417469588939
"77","NM_024011.4",0.448445819373632,0.251582364248392,1,1.14651441977921,13.6710814713748
"78","NM_001313982.2",0.296905687748564,0.726035636945554,1,0.350403850669195,4.05361785524627
"79","NM_001313896.2",1.01382349215123,0.496077226909303,1,0.680674892048885,1.30807266623875
"80","NM_033529.4",-0.385223669908718,0.632268845325813,1,-0.478535876932009,6.37036228505488
"81","NM_001198995.1",0.382153671519672,0.427692725397171,1,0.793146067678553,10.1888995423353
"82","NM_001353642.2",0.214207654147378,0.769741179852278,1,0.292713461131277,4.59418001094772
"83","NM_023018.5",3.46089213985161,0.119002364802916,1,1.55897471507016,1.98201217014136
"84","NM_001198993.2",0.0130118218402902,0.949976586934228,1,0.0627361796456162,64.6236531010736
"85","NM_001198994.2",0.00685668616386367,0.99051110287211,1,0.0118928492657992,5.6125090107873
"86","NM_001353641.2",0,1,1,0,0.0579907088978761
"87","NM_002074.5",-0.020889016911605,0.780545711580412,1,-0.27860794922734,328.680920603332
"88","NM_001330313.2",-2.43524880880425,0.178515138812658,1,-1.34534100041094,0.690190141992019
"89","NM_138705.4",0.735841341108268,0.798482118268599,1,0.255312018221419,0.691057067448263
"90","NM_178545.4",0.160775600804429,0.847636668424919,1,0.192134733384135,2.55625699432371
"91","NM_001304360.2",0.00623970471416813,0.996303552000976,1,0.00463282710743657,0.829812129681225
"92","NM_000815.5",-0.800298652745582,0.461977479534431,1,-0.735594551242974,1.36335042974234
"93","NM_002744.6",0.061830248553314,0.741321865817253,1,0.330103358249867,50.6365014734006
"94","NM_003036.4",0.184907945729793,0.451514709912121,1,0.752892176302865,40.3216042646409
"95","NM_024848.3",-0.321239965790933,0.747508366548602,1,-0.32192651366574,5.13485889732434
"96","NM_001301060.2",-0.153493654556263,0.761033821794556,1,-0.304123476459933,8.54906535622351
"97","NM_007033.5",-0.0363351578932373,0.827068356390915,1,-0.218463035170244,62.7393078999909
"98","NM_018216.4",0.165528825816422,0.605182217327409,1,0.516962671005631,36.4745782165651
"99","NM_001195741.3",-0.955338671910258,0.893912177433342,1,-0.133355575137566,0.0541103639750895
"100","NM_001195740.3",-2.4384643362203,0.731814857741606,1,-0.342712367411784,0.111709413800961
"101","NM_001195738.3",0.246336939888943,0.813243214423861,1,0.23624415997969,6.25456794878263
"102","NM_152371.5",0.276769438567411,0.65064173032887,1,0.452870866628354,8.06727124162994
"103","NM_001195737.3",2.71023444237348,0.0623996583875081,1,1.86344518106347,2.23810941313478
"104","NM_001195736.3",-0.529285988690662,0.495445058854727,1,-0.681674083081429,3.94356742852726
"105","NM_199454.3",1.8584684392558,0.794637787588873,1,0.260292979469955,0.19508760796892
"106","NM_022114.4",0.145951684866559,0.756836511083136,1,0.309637664177757,9.02579090003405
"107","NM_014448.4",0.244547622589546,0.621360477955012,1,0.493923116875271,8.17122134604969
"108","NM_001409.4",0.386789723082106,0.609085753920009,1,0.511378918333824,3.08148775228396
"109","NM_182752.4",-0.0448574068355343,0.884406567583611,1,-0.145385430041345,17.8736378383722
"110","NM_017818.4",0.128072128244261,0.565905014354489,1,0.574092786647497,56.6054926937259
"111","NM_001204186.2",0,1,1,0,0.0835790509316753
"112","NM_001204185.2",-0.00220642129861419,0.999433170170548,1,-0.000710415898461532,0.577183963074677
"113","NM_001204184.2",1.01776140093536,0.69154830140354,1,0.396754777918702,0.673320771844467
"114","NM_005427.4",0.83818376156767,0.349303403193169,1,0.935941316050009,3.96100877431032
"115","NM_001126240.3",-0.955350866148775,0.893910831303888,1,-0.133357277329383,0.0549985043245958
"116","NM_001204192.2",-0.800171051054723,0.486591381019039,1,-0.695740462160543,2.81131247847218
"117","NM_152492.3",-0.955351128281773,0.835496652493789,1,-0.207657182183393,0.276818388302024
"118","NM_020710.3",0.0683711441276676,0.769834359546212,1,0.292591568093324,35.1837591881268
"119","NM_014704.4",-0.089514988189056,0.735240113024761,1,-0.338163323496257,23.5432163847426
"120","NM_004402.4",-0.174821864357303,0.735826628337264,1,-0.337385082797952,10.1840038653047
"121","NM_001320136.2",1.0086350530152,0.420237400237516,1,0.806009450050191,2.6019112483863
"122","NM_001320132.2",-0.318839627401445,0.686089174601741,1,-0.404168011984642,4.20221044354775
"123","NM_207356.3",0.136080137580767,0.479447290813395,1,0.707191804596046,47.05941972014
"124","NM_015102.5",0.0971481000903692,0.838379541923312,1,0.203966673746666,9.59286449004941
"125","NM_001291593.2",-1.88969916357424,0.338776400226487,1,-0.956585718172747,0.721449964167725
"126","NM_001291594.2",0.336862786340959,0.842095372064332,1,0.199213969865491,1.08369130061894
"127","NM_001199861.2",0.29842712404573,0.715686561379488,1,0.364229605167509,3.37022867739964
"128","NM_172130.3",0.00630674118218476,0.993105087535429,1,0.00864159882130506,4.67201700283026
"129","NM_001199860.2",-0.256394022429853,0.849750152222485,1,-0.189437223817982,1.62805498792298
"130","NM_001199863.2",0,1,1,0,0.0275981398648358
"131","NM_001199862.2",-1.84968275932363,0.795580547528615,1,-0.259070886223518,0.081618531588077
"132","NM_015557.3",0.00652873433220011,0.991176374997041,1,0.0110589993764185,4.26260699433425
"133","NM_000983.4",0.0340573537488843,0.673868080749795,1,0.42084525830219,972.496504488729
"134","NM_207396.3",0.143967609097875,0.777986710466886,1,0.281943660846326,5.74403120190223
"135","NM_012405.4",-0.105957336909294,0.462353573336695,1,-0.734976882382729,84.2260524841567
"136","NM_001024598.4",0,1,1,0,0.0281905989669776
"137","NM_207370.4",0.277802679332969,0.514899375913434,1,0.651227910558892,8.52985677912939
"138","NM_181866.3",0.0715529206328713,0.768398457327342,1,0.294470427860546,108.698739656039
"139","NM_181865.3",-2.84741448882399,0.688519194204442,1,-0.400865442109253,0.19265892165751
"140","NM_181864.3",1.91432353878368,0.558197225383289,1,0.585521334827857,0.44683430418651
