genes_names	tAI
NM_001005221.2|Homo sapiens olfactory receptor family 4 subfamily F member 29 (OR4F29), mRNA|[0:939](+)	0.172965372305528
NM_001005277.1|Homo sapiens olfactory receptor family 4 subfamily F member 16 (OR4F16), mRNA|[0:939](+)	0.172965372305528
NM_015658.4|Homo sapiens NOC2 like nucleolar associated transcriptional repressor (NOC2L), mRNA|[16:2266](+)	0.264204019339541
NM_198317.3|Homo sapiens kelch like family member 17 (KLHL17), mRNA|[110:2039](+)	0.260809056380175
NM_001367552.1|Homo sapiens pleckstrin homology domain containing N1 (PLEKHN1), transcript variant 3, mRNA|[50:1922](+)	0.248980560780131
NM_001369897.1|Homo sapiens PPARGC1 and ESRR induced regulator, muscle 1 (PERM1), transcript variant 3, mRNA|[268:2641](+)	0.212724346005265
NM_001142467.2|Homo sapiens hes family bHLH transcription factor 4 (HES4), transcript variant 1, mRNA|[124:868](+)	0.263160955626206
NM_005101.4|Homo sapiens ISG15 ubiquitin like modifier (ISG15), mRNA|[77:575](+)	0.306765139248653
NM_001364727.2|Homo sapiens agrin (AGRN), transcript variant 3, mRNA|[563:6398](+)	0.26571260298739
NM_001205252.2|Homo sapiens ring finger protein 223 (RNF223), mRNA|[300:1050](+)	0.219308371715431
NM_001330306.2|Homo sapiens chromosome 1 open reading frame 159 (C1orf159), transcript variant 1, mRNA|[219:1362](+)	0.229448296577612
NM_001371649.1|Homo sapiens tubulin tyrosine ligase like 10 (TTLL10), transcript variant 3, mRNA|[196:2218](+)	0.25204016272429
NM_004195.3|Homo sapiens TNF receptor superfamily member 18 (TNFRSF18), transcript variant 1, mRNA|[21:747](+)	0.253884987763116
NM_003327.4|Homo sapiens TNF receptor superfamily member 4 (TNFRSF4), mRNA|[26:860](+)	0.260311687584277
NM_080605.4|Homo sapiens beta-1,3-galactosyltransferase 6 (B3GALT6), mRNA|[42:1032](+)	0.309060912167926
NM_001014980.3|Homo sapiens C1q and TNF related 12 (C1QTNF12), mRNA|[32:941](+)	0.267802304018298
NM_001130413.4|Homo sapiens sodium channel epithelial 1 subunit delta (SCNN1D), transcript variant 1, mRNA|[226:2635](+)	0.251427795164666
NM_030649.3|Homo sapiens ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 (ACAP3), mRNA|[115:2620](+)	0.291181926681088
NM_001029885.2|Homo sapiens ceramide-1-phosphate transfer protein (CPTP), mRNA|[376:1021](+)	0.285676380088257
NM_152228.3|Homo sapiens taste 1 receptor member 3 (TAS1R3), mRNA|[66:2625](+)	0.278406089002405
NM_001330311.2|Homo sapiens dishevelled segment polarity protein 1 (DVL1), transcript variant 1, mRNA|[353:2441](+)	0.262401907514324
NM_001282583.2|Homo sapiens matrix remodeling associated 8 (MXRA8), transcript variant 4, mRNA|[536:1838](+)	0.296826154196639
NM_001127229.2|Homo sapiens aurora kinase A interacting protein 1 (AURKAIP1), transcript variant 2, mRNA|[245:845](+)	0.245707486518541
NM_001320153.3|Homo sapiens cyclin L2 (CCNL2), transcript variant 3, mRNA|[1419:2316](+)	0.220622238319878
NM_001318485.2|Homo sapiens mitochondrial ribosomal protein L20 (MRPL20), transcript variant 2, mRNA; nuclear gene for mitochondrial product|[76:385](+)	0.217924266734811
NM_001146685.1|Homo sapiens transmembrane protein 88B (TMEM88B), mRNA|[0:492](+)	0.242507000078901
NM_022834.5|Homo sapiens von Willebrand factor A domain containing 1 (VWA1), transcript variant 1, mRNA|[59:1397](+)	0.258269458267302
NM_001039211.3|Homo sapiens ATPase family AAA domain containing 3C (ATAD3C), mRNA|[995:2231](+)	0.264541091809294
NM_001317238.2|Homo sapiens ATPase family AAA domain containing 3B (ATAD3B), transcript variant 2, mRNA|[651:2460](+)	0.265763939261452
NM_018188.5|Homo sapiens ATPase family AAA domain containing 3A (ATAD3A), transcript variant 1, mRNA|[107:2012](+)	0.269252398899143
NM_001114748.2|Homo sapiens transmembrane protein 240 (TMEM240), mRNA|[278:800](+)	0.283099105374437
NM_014188.3|Homo sapiens SSU72 homolog, RNA polymerase II CTD phosphatase (SSU72), mRNA|[306:891](+)	0.222144389462366
NM_001242659.2|Homo sapiens fibronectin type III domain containing 10 (FNDC10), mRNA|[120:801](+)	0.263565368141265
NM_080875.3|Homo sapiens MIB E3 ubiquitin protein ligase 2 (MIB2), transcript variant 1, mRNA|[131:3173](+)	0.304110395567066
NM_006983.2|Homo sapiens matrix metallopeptidase 23B (MMP23B), mRNA|[46:1219](+)	0.280578465761262
NM_033489.3|Homo sapiens cyclin dependent kinase 11B (CDK11B), transcript variant 5, mRNA|[253:2500](+)	0.274474080494529
NM_001290264.2|Homo sapiens solute carrier family 35 member E2B (SLC35E2B), transcript variant 1, mRNA|[912:2130](+)	0.22842026794491
NM_001313896.2|Homo sapiens cyclin dependent kinase 11A (CDK11A), transcript variant 5, mRNA|[113:2465](+)	0.274865861260558
NM_001198994.2|Homo sapiens NAD kinase (NADK), transcript variant 3, mRNA|[167:1943](+)	0.242893492286072
NM_002074.5|Homo sapiens G protein subunit beta 1 (GNB1), transcript variant 1, mRNA|[363:1386](+)	0.236517262616673
NM_138705.4|Homo sapiens calmodulin like 6 (CALML6), transcript variant 1, mRNA|[21:567](+)	0.284991696566616
NM_178545.4|Homo sapiens transmembrane protein 52 (TMEM52), mRNA|[14:644](+)	0.210542506972434
NM_001304360.2|Homo sapiens cilia and flagella associated protein 74 (CFAP74), mRNA|[105:5025](+)	0.259343947468649
NM_000815.5|Homo sapiens gamma-aminobutyric acid type A receptor subunit delta (GABRD), mRNA|[79:1438](+)	0.257400635012967
NM_003036.4|Homo sapiens SKI proto-oncogene (SKI), mRNA|[448:2635](+)	0.273765349954394
NM_024848.3|Homo sapiens MORN repeat containing 1 (MORN1), transcript variant 1, mRNA|[21:1515](+)	0.231884240096335
NM_007033.5|Homo sapiens retention in endoplasmic reticulum sorting receptor 1 (RER1), mRNA|[125:716](+)	0.195861998466186
NM_001242672.2|Homo sapiens tetratricopeptide repeat domain 34 (TTC34), mRNA|[41:3281](+)	0.286214078827342
NM_080431.5|Homo sapiens actin related protein T2 (ACTRT2), mRNA|[220:1354](+)	0.271670112970171
NM_022114.4|Homo sapiens PR/SET domain 16 (PRDM16), transcript variant 1, mRNA|[57:3888](+)	0.264429682902616
NM_014448.4|Homo sapiens Rho guanine nucleotide exchange factor 16 (ARHGEF16), mRNA|[166:2296](+)	0.275135687269001
NM_001409.4|Homo sapiens multiple EGF like domains 6 (MEGF6), mRNA|[240:4866](+)	0.268860489696417
NM_182752.4|Homo sapiens tumor protein p63 regulated 1 like (TPRG1L), mRNA|[58:877](+)	0.246434584685077
NM_017818.4|Homo sapiens WD repeat containing, antisense to TP73 (WRAP73), mRNA|[104:1487](+)	0.226927517159849
NM_005427.4|Homo sapiens tumor protein p73 (TP73), transcript variant 1, mRNA|[159:2070](+)	0.247371201991948
NM_152492.3|Homo sapiens coiled-coil domain containing 27 (CCDC27), mRNA|[32:2003](+)	0.274720838011571
NM_020710.3|Homo sapiens leucine rich repeat containing 47 (LRRC47), mRNA|[22:1774](+)	0.264664693232801
NM_014704.4|Homo sapiens centrosomal protein 104 (CEP104), mRNA|[337:3115](+)	0.206296108634037
