genes_names	tAI
NM_001005221.2|Homo sapiens olfactory receptor family 4 subfamily F member 29 (OR4F29), mRNA|[0:939](+)	0.189613861802287
NM_001005277.1|Homo sapiens olfactory receptor family 4 subfamily F member 16 (OR4F16), mRNA|[0:939](+)	0.189613861802287
NM_015658.4|Homo sapiens NOC2 like nucleolar associated transcriptional repressor (NOC2L), mRNA|[16:2266](+)	0.286005653839998
NM_198317.3|Homo sapiens kelch like family member 17 (KLHL17), mRNA|[110:2039](+)	0.280082826803395
NM_001367552.1|Homo sapiens pleckstrin homology domain containing N1 (PLEKHN1), transcript variant 3, mRNA|[50:1922](+)	0.265519859552719
NM_001369897.1|Homo sapiens PPARGC1 and ESRR induced regulator, muscle 1 (PERM1), transcript variant 3, mRNA|[268:2641](+)	0.225766356383312
NM_001142467.2|Homo sapiens hes family bHLH transcription factor 4 (HES4), transcript variant 1, mRNA|[124:868](+)	0.275275874310748
NM_005101.4|Homo sapiens ISG15 ubiquitin like modifier (ISG15), mRNA|[77:575](+)	0.333895264190431
NM_001364727.2|Homo sapiens agrin (AGRN), transcript variant 3, mRNA|[563:6398](+)	0.283520463951956
NM_001205252.2|Homo sapiens ring finger protein 223 (RNF223), mRNA|[300:1050](+)	0.236906174156218
NM_001330306.2|Homo sapiens chromosome 1 open reading frame 159 (C1orf159), transcript variant 1, mRNA|[219:1362](+)	0.244320476327245
NM_001371649.1|Homo sapiens tubulin tyrosine ligase like 10 (TTLL10), transcript variant 3, mRNA|[196:2218](+)	0.266703447681196
NM_004195.3|Homo sapiens TNF receptor superfamily member 18 (TNFRSF18), transcript variant 1, mRNA|[21:747](+)	0.269509959517235
NM_003327.4|Homo sapiens TNF receptor superfamily member 4 (TNFRSF4), mRNA|[26:860](+)	0.276150200810375
NM_080605.4|Homo sapiens beta-1,3-galactosyltransferase 6 (B3GALT6), mRNA|[42:1032](+)	0.331087948920025
NM_001014980.3|Homo sapiens C1q and TNF related 12 (C1QTNF12), mRNA|[32:941](+)	0.28590528020257
NM_001130413.4|Homo sapiens sodium channel epithelial 1 subunit delta (SCNN1D), transcript variant 1, mRNA|[226:2635](+)	0.268111605702843
NM_030649.3|Homo sapiens ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 (ACAP3), mRNA|[115:2620](+)	0.314297938448648
NM_001029885.2|Homo sapiens ceramide-1-phosphate transfer protein (CPTP), mRNA|[376:1021](+)	0.309548513104098
NM_152228.3|Homo sapiens taste 1 receptor member 3 (TAS1R3), mRNA|[66:2625](+)	0.301735951571675
NM_001330311.2|Homo sapiens dishevelled segment polarity protein 1 (DVL1), transcript variant 1, mRNA|[353:2441](+)	0.279689232922237
NM_001282583.2|Homo sapiens matrix remodeling associated 8 (MXRA8), transcript variant 4, mRNA|[536:1838](+)	0.317408086242692
NM_001127229.2|Homo sapiens aurora kinase A interacting protein 1 (AURKAIP1), transcript variant 2, mRNA|[245:845](+)	0.262372462238283
NM_001320153.3|Homo sapiens cyclin L2 (CCNL2), transcript variant 3, mRNA|[1419:2316](+)	0.237651974578966
NM_001318485.2|Homo sapiens mitochondrial ribosomal protein L20 (MRPL20), transcript variant 2, mRNA; nuclear gene for mitochondrial product|[76:385](+)	0.232831249753039
NM_001146685.1|Homo sapiens transmembrane protein 88B (TMEM88B), mRNA|[0:492](+)	0.256368205394913
NM_022834.5|Homo sapiens von Willebrand factor A domain containing 1 (VWA1), transcript variant 1, mRNA|[59:1397](+)	0.274784250329788
NM_001039211.3|Homo sapiens ATPase family AAA domain containing 3C (ATAD3C), mRNA|[995:2231](+)	0.285096510321666
NM_001317238.2|Homo sapiens ATPase family AAA domain containing 3B (ATAD3B), transcript variant 2, mRNA|[651:2460](+)	0.285814349244227
NM_018188.5|Homo sapiens ATPase family AAA domain containing 3A (ATAD3A), transcript variant 1, mRNA|[107:2012](+)	0.289458914728142
NM_001114748.2|Homo sapiens transmembrane protein 240 (TMEM240), mRNA|[278:800](+)	0.304180228176481
NM_014188.3|Homo sapiens SSU72 homolog, RNA polymerase II CTD phosphatase (SSU72), mRNA|[306:891](+)	0.239243487294759
NM_001242659.2|Homo sapiens fibronectin type III domain containing 10 (FNDC10), mRNA|[120:801](+)	0.27866924789804
NM_080875.3|Homo sapiens MIB E3 ubiquitin protein ligase 2 (MIB2), transcript variant 1, mRNA|[131:3173](+)	0.324138310842772
NM_006983.2|Homo sapiens matrix metallopeptidase 23B (MMP23B), mRNA|[46:1219](+)	0.299056251738749
NM_033489.3|Homo sapiens cyclin dependent kinase 11B (CDK11B), transcript variant 5, mRNA|[253:2500](+)	0.295233380387252
NM_001290264.2|Homo sapiens solute carrier family 35 member E2B (SLC35E2B), transcript variant 1, mRNA|[912:2130](+)	0.247806293404799
NM_001313896.2|Homo sapiens cyclin dependent kinase 11A (CDK11A), transcript variant 5, mRNA|[113:2465](+)	0.295139571452244
